District,Year,Taluka,Rural/Urban,Approved Anganwadis,Working Anganwadis,Anganwadi Workers,Self-Owned Buildings,Rental Buildings,Without Regular Building,Anganwadis with Toilets
Dhule,2013,Sakri,Urban,0,0,0,0,0,0,0
Dhule,2013,Shindkheda,Total,350,350,340,216,31,103,340
Dhule,2013,Shindkheda,Rural,341,341,331,216,22,103,331
Dhule,2013,Shindkheda,Urban,9,9,9,0,9,0,9
Dhule,2013,Shirpur,Total,384,384,381,288,29,67,282
Dhule,2013,Shirpur,Rural,372,372,369,288,17,67,270
Dhule,2013,Shirpur,Urban,12,12,12,0,12,0,12
Dhule,2014,Dhule,Total,705,705,697,270,199,236,523
Dhule,2014,Dhule,Rural,557,557,549,270,52,235,375
Dhule,2014,Dhule,Urban,148,148,148,0,147,1,148
Dhule,2014,Sakri,Total,643,643,664,391,65,187,430
Dhule,2014,Sakri,Rural,643,643,664,391,65,187,430
Dhule,2014,Sakri,Urban,0,0,0,0,0,0,0
Dhule,2014,Shindkheda,Total,350,350,345,216,31,103,340
Dhule,2014,Shindkheda,Rural,341,341,336,216,22,103,331
Dhule,2014,Shindkheda,Urban,9,9,9,0,9,0,9
Dhule,2014,Shirpur,Total,384,384,376,288,29,67,282
Dhule,2014,Shirpur,Rural,372,372,364,288,17,67,270
Dhule,2014,Shirpur,Urban,12,12,12,0,12,0,12
Dhule,2015,Dhule,Total,705,705,700,299,170,236,552
Dhule,2015,Dhule,Rural,557,557,553,299,23,235,404
Dhule,2015,Dhule,Urban,148,148,147,0,147,1,148
Dhule,2015,Sakri,Total,643,643,635,430,26,187,469
Dhule,2015,Sakri,Rural,643,643,635,430,26,187,469
Dhule,2015,Sakri,Urban,0,0,0,0,0,0,0
Dhule,2015,Shindkheda,Total,350,350,344,222,25,103,346
Dhule,2015,Shindkheda,Rural,341,341,335,222,16,103,337
Dhule,2015,Shindkheda,Urban,9,9,9,0,9,0,9
Dhule,2015,Shirpur,Total,384,384,377,303,14,67,297
Dhule,2015,Shirpur,Rural,372,372,365,303,2,67,285
Dhule,2015,Shirpur,Urban,12,12,12,0,12,0,12
Dhule,2016,Dhule,Total,705,705,699,302,167,236,555
