District,Year,Taluka,Number of MSME Industries
Ahilyanagar,2021,Rahuri,1585
Ahilyanagar,2021,Parner,1203
Ahilyanagar,2021,Srigonda,790
Ahilyanagar,2021,Karjat,772
Ahilyanagar,2021,Jamkhed,670
Akola,2018,Telhara,205
Akola,2018,Akot,430
Akola,2018,Balapur,621
Akola,2018,Akola,2780
Akola,2018,Murtijapur,758
Akola,2018,Patur,252
Akola,2018,Barshitakali,75
Akola,2019,Telhara,220
Akola,2019,Akot,450
Akola,2019,Balapur,640
Akola,2019,Akola,2950
Akola,2019,Murtijapur,770
Akola,2019,Patur,260
Akola,2019,Barshitakali,80
Akola,2020,Telhara,220
Akola,2020,Akot,453
Akola,2020,Balapur,642
Akola,2020,Akola,2954
Akola,2020,Murtijapur,775
Akola,2020,Patur,263
Akola,2020,Barshitakali,82
Akola,2021,Telhara,320
Akola,2021,Akot,645
Akola,2021,Balapur,785
Akola,2021,Akola,5610
Akola,2021,Murtijapur,940
Akola,2021,Patur,460
Akola,2021,Barshitakali,315
Amravati,2018,Dharani,32
Amravati,2018,Chikhraldara,24
Amravati,2018,Anjangaon Su,173
Amravati,2018,Achalpur,618
Amravati,2018,Chandurbazar,139
Amravati,2018,Morshi,161
Amravati,2018,Warud,222
Amravati,2018,Tivas,90
Amravati,2018,Amravati,2681
Amravati,2018,Bhatkuli,15
Amravati,2018,Daryapur,263
Amravati,2018,Nandgaon Kh,83
Amravati,2018,Chandur Railway,114
Amravati,2018,Dhamangaon Re,80
Amravati,2019,Dharani,113
Amravati,2019,Chikhraldara,32
Amravati,2019,Anjangaon Su,422
Amravati,2019,Achalpur,752
Amravati,2019,Chandurbazar,311
Amravati,2019,Morshi,400
Amravati,2019,Warud,553
Amravati,2019,Tivas,132
Amravati,2019,Amravati,3194
Amravati,2019,Bhatkuli,52
Amravati,2019,Daryapur,493
Amravati,2019,Nandgaon Kh,183
Amravati,2019,Chandur Railway,170
Amravati,2019,Dhamangaon Re,258
Amravati,2020,Dharani,96
Amravati,2020,Chikhraldara,43
Amravati,2020,Anjangaon Su,324
Amravati,2020,Achalpur,617
Amravati,2020,Chandurbazar,384
Amravati,2020,Morshi,278
Amravati,2020,Warud,792
Amravati,2020,Tivas,111
Amravati,2020,Amravati,2062
Amravati,2020,Bhatkuli,81
Amravati,2020,Daryapur,338
Amravati,2020,Nandgaon Kh,289
Amravati,2020,Chandur Railway,284
Amravati,2020,Dhamangaon Re,175
Amravati,2021,Dharani,281
Amravati,2021,Chikhraldara,89
Amravati,2021,Anjangaon Su,609
Amravati,2021,Achalpur,1559
Amravati,2021,Chandurbazar,851
Amravati,2021,Morshi,725
Amravati,2021,Warud,1297
Amravati,2021,Tivas,338
Amravati,2021,Amravati,6605
Amravati,2021,Bhatkuli,174
Amravati,2021,Daryapur,652
Amravati,2021,Nandgaon Kh,404
Amravati,2021,Chandur Railway,401
Amravati,2021,Dhamangaon Re,461
Beed,2018,Ashti,308
Beed,2018,Patoda,42
Beed,2018,Shirur Kasar,39
Beed,2018,Gevrai,256
Beed,2018,Majalgaon,196
Beed,2018,Wadwani,50
Beed,2018,Beed,570
Beed,2018,Cage,88
Beed,2018,Dharur,76
Beed,2018,Parli,220
Beed,2018,Ambajogai,318
Beed,2019,Ashti,352
Beed,2019,Patoda,64
Beed,2019,Shirur Kasar,50
Beed,2019,Gevrai,361
Beed,2019,Majalgaon,230
Beed,2019,Wadwani,62
Beed,2019,Beed,653
Beed,2019,Cage,88
Beed,2019,Dharur,78
Beed,2019,Parli,328
Beed,2019,Ambajogai,378
Beed,2020,Ashti,361
Beed,2020,Patoda,64
Beed,2020,Shirur Kasar,52
Beed,2020,Gevrai,371
Beed,2020,Majalgaon,238
Beed,2020,Wadwani,62
Beed,2020,Beed,674
Beed,2020,Cage,89
Beed,2020,Dharur,78
Beed,2020,Parli,340
Beed,2020,Ambajogai,383
Beed,2021,Ashti,312
Beed,2021,Patoda,94
Beed,2021,Shirur Kasar,85
Beed,2021,Gevrai,382
Beed,2021,Majalgaon,263
Beed,2021,Wadwani,98
Beed,2021,Beed,718
Beed,2021,Cage,106
Beed,2021,Dharur,103
Beed,2021,Parli,378
Beed,2021,Ambajogai,410
Bhandara,2018,Tumsar,4172
Bhandara,2018,Mohadi,2591
Bhandara,2018,Bhandara,5426
Bhandara,2018,Sakoli,2185
Bhandara,2018,Lakhani,1371
Bhandara,2018,Pavani,1587
Bhandara,2018,Lakhandur,1427
Bhandara,2019,Tumsar,5173
Bhandara,2019,Mohadi,2813
Bhandara,2019,Bhandara,7325
Bhandara,2019,Sakoli,2478
Bhandara,2019,Lakhani,1972
Bhandara,2019,Pavani,1900
Bhandara,2019,Lakhandur,1613
Bhandara,2020,Tumsar,5173
Bhandara,2020,Mohadi,2895
Bhandara,2020,Bhandara,7384
Bhandara,2020,Sakoli,2502
Bhandara,2020,Lakhani,1994
Bhandara,2020,Pavani,1977
Bhandara,2020,Lakhandur,1720
Bhandara,2021,Tumsar,5293
Bhandara,2021,Mohadi,2975
Bhandara,2021,Bhandara,7628
Bhandara,2021,Sakoli,2546
Bhandara,2021,Lakhani,2021
Bhandara,2021,Pavani,2021
Bhandara,2021,Lakhandur,1822
Buldana,2018,Jalgaon Jamod,147
Buldana,2018,Sangrampur,43
Buldana,2018,Shegaon,225
Buldana,2018,Nandura,219
Buldana,2018,Malkapur,229
Buldana,2018,Motala,53
Buldana,2018,Khamgaon,705
Buldana,2018,Mehkar,384
Buldana,2018,Chikhali,453
Buldana,2018,Buldana,620
Buldana,2018,Deulgaon Raja,204
Buldana,2018,Sindkhed Raja,62
Buldana,2018,Lonar,116
Buldana,2019,Jalgaon Jamod,147
Buldana,2019,Sangrampur,43
Buldana,2019,Shegaon,225
Buldana,2019,Nandura,219
Buldana,2019,Malkapur,229
Buldana,2019,Motala,53
Buldana,2019,Khamgaon,705
Buldana,2019,Mehkar,384
Buldana,2019,Chikhali,453
Buldana,2019,Buldana,620
Buldana,2019,Deulgaon Raja,204
Buldana,2019,Sindkhed Raja,62
Buldana,2019,Lonar,116
Buldana,2020,Jalgaon Jamod,192
Buldana,2020,Sangrampur,154
Buldana,2020,Shegaon,476
Buldana,2020,Nandura,432
Buldana,2020,Malkapur,425
Buldana,2020,Motala,184
Buldana,2020,Khamgaon,1002
Buldana,2020,Mehkar,754
Buldana,2020,Chikhali,678
Buldana,2020,Buldana,915
Buldana,2020,Deulgaon Raja,241
Buldana,2020,Sindkhed Raja,149
Buldana,2020,Lonar,342
Buldana,2021,Jalgaon Jamod,540
Buldana,2021,Sangrampur,475
Buldana,2021,Shegaon,825
Buldana,2021,Nandura,852
Buldana,2021,Malkapur,1130
Buldana,2021,Motala,435
Buldana,2021,Khamgaon,1754
Buldana,2021,Mehkar,1334
Buldana,2021,Chikhali,1420
Buldana,2021,Buldana,1933
Buldana,2021,Deulgaon Raja,472
Buldana,2021,Sindkhed Raja,464
Buldana,2021,Lonar,540
Chandrapur,2018,Varora,135
Chandrapur,2018,Chimur,110
Chandrapur,2018,Nagbhid,117
Chandrapur,2018,Bramhapuri,151
Chandrapur,2018,Savali,30
Chandrapur,2018,Sindevahi,51
Chandrapur,2018,Bhadravati,114
Chandrapur,2018,Chandrapur,1568
Chandrapur,2018,Mul,616
Chandrapur,2018,Ponbhurna,75
Chandrapur,2018,Ballarpur,104
Chandrapur,2018,Korpana,62
Chandrapur,2018,Rajura,74
Chandrapur,2018,Gondpipari,43
Chandrapur,2018,Jivati,36
Chandrapur,2019,Varora,134
Chandrapur,2019,Chimur,73
Chandrapur,2019,Nagbhid,51
Chandrapur,2019,Bramhapuri,178
Chandrapur,2019,Savali,88
Chandrapur,2019,Sindevahi,46
Chandrapur,2019,Bhadravati,187
Chandrapur,2019,Chandrapur,1111
Chandrapur,2019,Mul,108
Chandrapur,2019,Ponbhurna,16
Chandrapur,2019,Ballarpur,149
Chandrapur,2019,Korpana,41
Chandrapur,2019,Rajura,103
Chandrapur,2019,Gondpipari,80
Chandrapur,2019,Jivati,75
Chandrapur,2020,Varora,761
Chandrapur,2020,Chimur,309
Chandrapur,2020,Nagbhid,267
Chandrapur,2020,Bramhapuri,650
Chandrapur,2020,Savali,228
Chandrapur,2020,Sindevahi,305
Chandrapur,2020,Bhadravati,608
Chandrapur,2020,Chandrapur,4691
Chandrapur,2020,Mul,623
Chandrapur,2020,Ponbhurna,97
Chandrapur,2020,Ballarpur,952
Chandrapur,2020,Korpana,286
Chandrapur,2020,Rajura,305
Chandrapur,2020,Gondpipari,359
Chandrapur,2020,Jivati,56
Chandrapur,2021,Varora,600
Chandrapur,2021,Chimur,845
Chandrapur,2021,Nagbhid,800
Chandrapur,2021,Bramhapuri,750
Chandrapur,2021,Savali,400
Chandrapur,2021,Sindevahi,314
Chandrapur,2021,Bhadravati,850
Chandrapur,2021,Chandrapur,1500
Chandrapur,2021,Mul,450
Chandrapur,2021,Ponbhurna,230
Chandrapur,2021,Ballarpur,700
Chandrapur,2021,Korpana,301
Chandrapur,2021,Rajura,100
Chandrapur,2021,Gondpipari,450
Chandrapur,2021,Jivati,15
Dhule,2018,Shirpur,201
Dhule,2018,Shindkheda,154
Dhule,2018,Sakri,364
Dhule,2018,Dhule,1373
Dhule,2019,Shirpur,168
Dhule,2019,Shindkheda,330
Dhule,2019,Sakri,426
Dhule,2019,Dhule,1422
Dhule,2020,Shirpur,893
Dhule,2020,Shindkheda,304
Dhule,2020,Sakri,710
Dhule,2020,Dhule,2804
Dhule,2021,Shirpur,273
Dhule,2021,Shindkheda,136
Dhule,2021,Sakri,315
Dhule,2021,Dhule,1065
Gadchiroli,2018,Desaiganj,170
Gadchiroli,2018,Aarmori,103
Gadchiroli,2018,Kurkheda,100
Gadchiroli,2018,Korachi,17
Gadchiroli,2018,Dhanora,33
Gadchiroli,2018,Gadchiroli,327
Gadchiroli,2018,Chomoshi,478
Gadchiroli,2018,Mulchera,254
Gadchiroli,2018,Etapalli,133
Gadchiroli,2018,Bhamragad,85
Gadchiroli,2018,Aheri,277
Gadchiroli,2018,Sironcha,41
Gadchiroli,2019,Desaiganj,1377
Gadchiroli,2019,Aarmori,1210
Gadchiroli,2019,Kurkheda,919
Gadchiroli,2019,Korachi,172
Gadchiroli,2019,Dhanora,730
Gadchiroli,2019,Gadchiroli,2040
Gadchiroli,2019,Chomoshi,7407
Gadchiroli,2019,Mulchera,1162
Gadchiroli,2019,Etapalli,994
Gadchiroli,2019,Bhamragad,369
Gadchiroli,2019,Aheri,1286
Gadchiroli,2019,Sironcha,382
Gadchiroli,2020,Desaiganj,1696
Gadchiroli,2020,Aarmori,1376
Gadchiroli,2020,Kurkheda,1045
Gadchiroli,2020,Korachi,210
Gadchiroli,2020,Dhanora,764
Gadchiroli,2020,Gadchiroli,2481
Gadchiroli,2020,Chomoshi,7808
Gadchiroli,2020,Mulchera,1217
Gadchiroli,2020,Etapalli,1032
Gadchiroli,2020,Bhamragad,398
Gadchiroli,2020,Aheri,1539
Gadchiroli,2020,Sironcha,452
Gadchiroli,2021,Desaiganj,2196
Gadchiroli,2021,Aarmori,1601
Gadchiroli,2021,Kurkheda,1292
Gadchiroli,2021,Korachi,251
Gadchiroli,2021,Dhanora,843
Gadchiroli,2021,Gadchiroli,3169
Gadchiroli,2021,Chomoshi,8310
Gadchiroli,2021,Mulchera,1300
Gadchiroli,2021,Etapalli,1119
Gadchiroli,2021,Bhamragad,424
Gadchiroli,2021,Aheri,2126
Gadchiroli,2021,Sironcha,619
Gondia,2018,Tiroda,1620
Gondia,2018,Goregaon,445
Gondia,2018,Gondia,3578
Gondia,2018,Aamgaon,929
Gondia,2018,Salekasa,314
Gondia,2018,Sadak Arjuni,398
Gondia,2018,Arjuni Morgaon,375
Gondia,2018,Devari,374
Gondia,2019,Tiroda,1728
Gondia,2019,Goregaon,930
Gondia,2019,Gondia,4599
Gondia,2019,Aamgaon,1130
Gondia,2019,Salekasa,487
Gondia,2019,Sadak Arjuni,499
Gondia,2019,Arjuni Morgaon,764
Gondia,2019,Devari,423
Gondia,2020,Tiroda,1942
Gondia,2020,Goregaon,1047
Gondia,2020,Gondia,4930
Gondia,2020,Aamgaon,1426
Gondia,2020,Salekasa,768
Gondia,2020,Sadak Arjuni,563
Gondia,2020,Arjuni Morgaon,867
Gondia,2020,Devari,519
Gondia,2021,Tiroda,5147
Gondia,2021,Goregaon,2536
Gondia,2021,Gondia,12642
Gondia,2021,Aamgaon,2679
Gondia,2021,Salekasa,1191
Gondia,2021,Sadak Arjuni,1038
Gondia,2021,Arjuni Morgaon,1467
Gondia,2021,Devari,1053
Hingoli,2018,Sengaon,437
Hingoli,2018,Hingoli,1785
Hingoli,2018,Aundha Na,385
Hingoli,2018,Kalamanuri,905
Hingoli,2018,Vasamat,930
Hingoli,2019,Sengaon,1117
Hingoli,2019,Hingoli,3240
Hingoli,2019,Aundha Na,940
Hingoli,2019,Kalamanuri,1025
Hingoli,2019,Vasamat,1050
Hingoli,2020,Sengaon,
Hingoli,2020,Hingoli,
Hingoli,2020,Aundha Na,
Hingoli,2020,Kalamanuri,
Hingoli,2020,Vasamat,
Hingoli,2021,Sengaon,1192
Hingoli,2021,Hingoli,3360
Hingoli,2021,Aundha Na,1060
Hingoli,2021,Kalamanuri,1145
Hingoli,2021,Vasamat,1237
Jalna,2018,Bhokardan,
Jalna,2018,Jaffrabad,
Jalna,2018,Jalna,
Jalna,2018,Badnapur,
Jalna,2018,Ambad,
Jalna,2018,Ghansawangi,
Jalna,2018,Partur,
Jalna,2018,Mantha,
Jalna,2019,Bhokardan,2901
Jalna,2019,Jaffrabad,1890
Jalna,2019,Jalna,9655
Jalna,2019,Badnapur,2150
Jalna,2019,Ambad,2350
Jalna,2019,Ghansawangi,1560
Jalna,2019,Partur,3100
Jalna,2019,Mantha,1804
Jalna,2020,Bhokardan,4608
Jalna,2020,Jaffrabad,2940
Jalna,2020,Jalna,15332
Jalna,2020,Badnapur,3417
Jalna,2020,Ambad,3735
Jalna,2020,Ghansawangi,2479
Jalna,2020,Partur,5006
Jalna,2020,Mantha,2867
Jalna,2021,Bhokardan,5304
Jalna,2021,Jaffrabad,3645
Jalna,2021,Jalna,16524
Jalna,2021,Badnapur,4120
Jalna,2021,Ambad,4412
Jalna,2021,Ghansawangi,3035
Jalna,2021,Partur,5610
Jalna,2021,Mantha,3125
Kolhapur,2018,Shahuwadi,212
Kolhapur,2018,Panhala,689
Kolhapur,2018,Hatkanangale,18888
Kolhapur,2018,Shirol,3274
Kolhapur,2018,Karveer,9628
Kolhapur,2018,Gaganbavada,41
Kolhapur,2018,Radhanagari,520
Kolhapur,2018,Kagal,1611
Kolhapur,2018,Bhudargad,418
Kolhapur,2018,Ajara,664
Kolhapur,2018,Gadhinglaj,759
Kolhapur,2018,Chandgad,912
Kolhapur,2019,Shahuwadi,261
Kolhapur,2019,Panhala,1081
Kolhapur,2019,Hatkanangale,21790
Kolhapur,2019,Shirol,3943
Kolhapur,2019,Karveer,14505
Kolhapur,2019,Gaganbavada,63
Kolhapur,2019,Radhanagari,837
Kolhapur,2019,Kagal,2189
Kolhapur,2019,Bhudargad,673
Kolhapur,2019,Ajara,930
Kolhapur,2019,Gadhinglaj,1100
Kolhapur,2019,Chandgad,1167
Kolhapur,2020,Shahuwadi,261
Kolhapur,2020,Panhala,1081
Kolhapur,2020,Hatkanangale,22805
Kolhapur,2020,Shirol,4122
Kolhapur,2020,Karveer,14920
Kolhapur,2020,Gaganbavada,65
Kolhapur,2020,Radhanagari,840
Kolhapur,2020,Kagal,2322
Kolhapur,2020,Bhudargad,675
Kolhapur,2020,Ajara,945
Kolhapur,2020,Gadhinglaj,1105
Kolhapur,2020,Chandgad,1178
Kolhapur,2021,Shahuwadi,269
Kolhapur,2021,Panhala,1097
Kolhapur,2021,Hatkanangale,24902
Kolhapur,2021,Shirol,4991
Kolhapur,2021,Karveer,17118
Kolhapur,2021,Gaganbavada,65
Kolhapur,2021,Radhanagari,849
Kolhapur,2021,Kagal,2712
Kolhapur,2021,Bhudargad,677
Kolhapur,2021,Ajara,1005
Kolhapur,2021,Gadhinglaj,1127
Kolhapur,2021,Chandgad,1201
Latur,2018,Latur,1574
Latur,2018,Renapur,118
Latur,2018,Ahamadpur,110
Latur,2018,Jalkot,111
Latur,2018,Chakur,100
Latur,2018,Shirur-Anantpal,102
Latur,2018,Aosa,480
Latur,2018,Nilanga,160
Latur,2018,Devani,100
Latur,2018,Udgir,342
Latur,2019,Latur,1113
Latur,2019,Renapur,59
Latur,2019,Ahamadpur,83
Latur,2019,Jalkot,60
Latur,2019,Chakur,28
Latur,2019,Shirur-Anantpal,28
Latur,2019,Aosa,322
Latur,2019,Nilanga,110
Latur,2019,Devani,23
Latur,2019,Udgir,243
Latur,2020,Latur,2075
Latur,2020,Renapur,102
Latur,2020,Ahamadpur,205
Latur,2020,Jalkot,170
Latur,2020,Chakur,55
Latur,2020,Shirur-Anantpal,53
Latur,2020,Aosa,234
Latur,2020,Nilanga,244
Latur,2020,Devani,76
Latur,2020,Udgir,422
Latur,2021,Latur,1310
Latur,2021,Renapur,114
Latur,2021,Ahamadpur,141
Latur,2021,Jalkot,95
Latur,2021,Chakur,23
Latur,2021,Shirur-Anantpal,48
Latur,2021,Aosa,198
Latur,2021,Nilanga,234
Latur,2021,Devani,48
Latur,2021,Udgir,297
Mumbai City,2018,Mumbai City,211676
Mumbai City,2019,Mumbai City,211676
Mumbai City,2020,Mumbai City,50965
Mumbai City,2021,Mumbai City,7298
Mumbai Suburban,2018,Adheri,
Mumbai Suburban,2018,Borivali,
Mumbai Suburban,2018,Kurla,
Mumbai Suburban,2019,Adheri,
Mumbai Suburban,2019,Borivali,
Mumbai Suburban,2019,Kurla,
Mumbai Suburban,2020,Adheri,
Mumbai Suburban,2020,Borivali,
Mumbai Suburban,2020,Kurla,
Mumbai Suburban,2021,Adheri,2516
Mumbai Suburban,2021,Borivali,3681
Mumbai Suburban,2021,Kurla,2510
Nagpur,2018,Narkhed,117
Nagpur,2018,Katol,321
Nagpur,2018,Kalameshwar,286
Nagpur,2018,Sawner,403
Nagpur,2018,Parashivani,311
Nagpur,2018,Ramtech,266
Nagpur,2018,Mauda,260
Nagpur,2018,Kamathi,659
Nagpur,2018,Nagpur (Gra),1118
Nagpur,2018,Nagpur (Sh),9422
Nagpur,2018,Hingana,914
Nagpur,2018,Umred,268
Nagpur,2018,Kuhi,107
Nagpur,2018,Bhiwapur,103
Nagpur,2019,Narkhed,194
Nagpur,2019,Katol,431
Nagpur,2019,Kalameshwar,372
Nagpur,2019,Sawner,613
Nagpur,2019,Parashivani,399
Nagpur,2019,Ramtech,384
Nagpur,2019,Mauda,365
Nagpur,2019,Kamathi,1007
Nagpur,2019,Nagpur (Gra),1570
Nagpur,2019,Nagpur (Sh),14803
Nagpur,2019,Hingana,1358
Nagpur,2019,Umred,396
Nagpur,2019,Kuhi,152
Nagpur,2019,Bhiwapur,194
Nagpur,2020,Narkhed,460
Nagpur,2020,Katol,630
Nagpur,2020,Kalameshwar,521
Nagpur,2020,Sawner,916
Nagpur,2020,Parashivani,644
Nagpur,2020,Ramtech,546
Nagpur,2020,Mauda,508
Nagpur,2020,Kamathi,1450
Nagpur,2020,Nagpur (Gra),2326
Nagpur,2020,Nagpur (Sh),21457
Nagpur,2020,Hingana,2095
Nagpur,2020,Umred,633
Nagpur,2020,Kuhi,252
Nagpur,2020,Bhiwapur,280
Nagpur,2021,Narkhed,606
Nagpur,2021,Katol,764
Nagpur,2021,Kalameshwar,627
Nagpur,2021,Sawner,1082
Nagpur,2021,Parashivani,762
Nagpur,2021,Ramtech,721
Nagpur,2021,Mauda,579
Nagpur,2021,Kamathi,1581
Nagpur,2021,Nagpur (Gra),24860
Nagpur,2021,Nagpur (Sh),2668
Nagpur,2021,Hingana,2373
Nagpur,2021,Umred,781
Nagpur,2021,Kuhi,308
Nagpur,2021,Bhiwapur,317
Nanded,2018,Mahur,24
Nanded,2018,Kinvat,29
Nanded,2018,Himalay Nagar,17
Nanded,2018,Hadgaon,112
Nanded,2018,Andhrapur,78
Nanded,2018,Nanded,2152
Nanded,2018,Mudkhed,49
Nanded,2018,Bhokar,112
Nanded,2018,Umari,22
Nanded,2018,Dharmabad,33
Nanded,2018,Biloli,27
Nanded,2018,Naygaon,92
Nanded,2018,Loha,124
Nanded,2018,Kandhar,61
Nanded,2018,Mukhed,75
Nanded,2018,Deglur,75
Nanded,2019,Mahur,61
Nanded,2019,Kinvat,275
Nanded,2019,Himalay Nagar,81
Nanded,2019,Hadgaon,277
Nanded,2019,Andhrapur,224
Nanded,2019,Nanded,2242
Nanded,2019,Mudkhed,154
Nanded,2019,Bhokar,54
Nanded,2019,Umari,86
Nanded,2019,Dharmabad,121
Nanded,2019,Biloli,75
Nanded,2019,Naygaon,428
Nanded,2019,Loha,274
Nanded,2019,Kandhar,274
Nanded,2019,Mukhed,146
Nanded,2019,Deglur,347
Nanded,2020,Mahur,111
Nanded,2020,Kinvat,375
Nanded,2020,Himalay Nagar,161
Nanded,2020,Hadgaon,397
Nanded,2020,Andhrapur,294
Nanded,2020,Nanded,4044
Nanded,2020,Mudkhed,204
Nanded,2020,Bhokar,134
Nanded,2020,Umari,206
Nanded,2020,Dharmabad,201
Nanded,2020,Biloli,125
Nanded,2020,Naygaon,498
Nanded,2020,Loha,314
Nanded,2020,Kandhar,324
Nanded,2020,Mukhed,186
Nanded,2020,Deglur,378
Nanded,2021,Mahur,444
Nanded,2021,Kinvat,1500
Nanded,2021,Himalay Nagar,644
Nanded,2021,Hadgaon,1588
Nanded,2021,Andhrapur,1176
Nanded,2021,Nanded,16176
Nanded,2021,Mudkhed,816
Nanded,2021,Bhokar,536
Nanded,2021,Umari,824
Nanded,2021,Dharmabad,804
Nanded,2021,Biloli,500
Nanded,2021,Naygaon,1992
Nanded,2021,Loha,1256
Nanded,2021,Kandhar,1296
Nanded,2021,Mukhed,744
Nanded,2021,Deglur,1512
Nandurbar,2018,Akkalkuva,50
Nandurbar,2018,Akrani,15
Nandurbar,2018,Taloda,51
Nandurbar,2018,Shahada,178
Nandurbar,2018,Nandurbar,404
Nandurbar,2018,Navapur,157
Nandurbar,2019,Akkalkuva,59
Nandurbar,2019,Akrani,20
Nandurbar,2019,Taloda,127
Nandurbar,2019,Shahada,415
Nandurbar,2019,Nandurbar,832
Nandurbar,2019,Navapur,228
Nandurbar,2020,Akkalkuva,37
Nandurbar,2020,Akrani,12
Nandurbar,2020,Taloda,46
Nandurbar,2020,Shahada,336
Nandurbar,2020,Nandurbar,477
Nandurbar,2020,Navapur,167
Nandurbar,2021,Akkalkuva,137
Nandurbar,2021,Akrani,96
Nandurbar,2021,Taloda,542
Nandurbar,2021,Shahada,846
Nandurbar,2021,Nandurbar,1666
Nandurbar,2021,Navapur,772
Nashik,2018,Surgana,
Nashik,2018,Kalwan,
Nashik,2018,Devala,
Nashik,2018,Baglan,
Nashik,2018,Malegaon,
Nashik,2018,Nandgaon,
Nashik,2018,Chandwad,
Nashik,2018,Dindori,
Nashik,2018,Peth,
Nashik,2018,Trimbak,
Nashik,2018,Nashik,41995
Nashik,2018,Igatpuri,
Nashik,2018,Sinner,
Nashik,2018,Nifad,
Nashik,2018,Yewala,
Nashik,2019,Surgana,
Nashik,2019,Kalwan,
Nashik,2019,Devala,
Nashik,2019,Baglan,
Nashik,2019,Malegaon,
Nashik,2019,Nandgaon,
Nashik,2019,Chandwad,
Nashik,2019,Dindori,
Nashik,2019,Peth,
Nashik,2019,Trimbak,
Nashik,2019,Nashik,61562
Nashik,2019,Igatpuri,
Nashik,2019,Sinner,
Nashik,2019,Nifad,
Nashik,2019,Yewala,
Nashik,2020,Surgana,
Nashik,2020,Kalwan,
Nashik,2020,Devala,
Nashik,2020,Baglan,
Nashik,2020,Malegaon,
Nashik,2020,Nandgaon,
Nashik,2020,Chandwad,
Nashik,2020,Dindori,
Nashik,2020,Peth,
Nashik,2020,Trimbak,
Nashik,2020,Nashik,53437
Nashik,2020,Igatpuri,
Nashik,2020,Sinner,
Nashik,2020,Nifad,
Nashik,2020,Yewala,
Nashik,2021,Surgana,200
Nashik,2021,Kalwan,900
Nashik,2021,Devala,970
Nashik,2021,Baglan,600
Nashik,2021,Malegaon,7262
Nashik,2021,Nandgaon,1120
Nashik,2021,Chandwad,900
Nashik,2021,Dindori,2771
Nashik,2021,Peth,1301
Nashik,2021,Trimbak,210
Nashik,2021,Nashik,41570
Nashik,2021,Igatpuri,1100
Nashik,2021,Sinner,4100
Nashik,2021,Nifad,2714
Nashik,2021,Yewala,1901
Dharashiv,2018,Paranda,127
Dharashiv,2018,Bhum,129
Dharashiv,2018,Washi,95
Dharashiv,2018,Kalamb,217
Dharashiv,2018,Dharashiv,591
Dharashiv,2018,Tuljapur,371
Dharashiv,2018,Lohara,119
Dharashiv,2018,Umaraga,545
Dharashiv,2019,Paranda,56
Dharashiv,2019,Bhum,77
Dharashiv,2019,Washi,92
Dharashiv,2019,Kalamb,147
Dharashiv,2019,Dharashiv,475
Dharashiv,2019,Tuljapur,134
Dharashiv,2019,Lohara,60
Dharashiv,2019,Umaraga,91
Dharashiv,2020,Paranda,68
Dharashiv,2020,Bhum,174
Dharashiv,2020,Washi,56
Dharashiv,2020,Kalamb,208
Dharashiv,2020,Dharashiv,475
Dharashiv,2020,Tuljapur,134
Dharashiv,2020,Lohara,86
Dharashiv,2020,Umaraga,133
Dharashiv,2021,Paranda,612
Dharashiv,2021,Bhum,1394
Dharashiv,2021,Washi,761
Dharashiv,2021,Kalamb,2084
Dharashiv,2021,Dharashiv,4337
Dharashiv,2021,Tuljapur,1459
