District,Year,Taluka,Shops,Business Organizations,Hotels and Restaurants,Cinema Halls,Organizations without Workers
Ahilyanagar,2015,Akole,,,,,
Ahilyanagar,2015,Sangamner,4362,1895,263,6,
Ahilyanagar,2015,Kopargaon,3907,1185,275,6,
Ahilyanagar,2015,Rahata,,,,,
Ahilyanagar,2015,Srirampur,5838,1415,373,4,
Ahilyanagar,2015,Nevasa,,,,,
Ahilyanagar,2015,Shevgaon,1857,708,222,2,
Ahilyanagar,2015,Pathardi,1128,325,106,1,
Ahilyanagar,2015,Nagar,27704,15997,1860,25,
Ahilyanagar,2015,Rahuri,1375,398,120,3,
Ahilyanagar,2015,Parner,,,,,
Ahilyanagar,2015,Srigonda,,,,,
Ahilyanagar,2015,Karjat,,,,,
Ahilyanagar,2015,Jamkhed,,,,,
Ahilyanagar,2016,Akole,,,,,
Ahilyanagar,2016,Sangamner,4887,2145,180,603,7
Ahilyanagar,2016,Kopargaon,1348,1325,289,731,24
Ahilyanagar,2016,Rahata,4,,,,
Ahilyanagar,2016,Srirampur,6671,1570,396,653,29
Ahilyanagar,2016,Nevasa,,,,,
Ahilyanagar,2016,Shevgaon,2271,1086,270,283,2
Ahilyanagar,2016,Pathardi,1255,370,114,134,2
Ahilyanagar,2016,Nagar,31769,18562,2167,3285,44
Ahilyanagar,2016,Rahuri,1692,494,141,293,4
Ahilyanagar,2016,Parner,,,,,
Ahilyanagar,2016,Srigonda,4,,,,
Ahilyanagar,2016,Karjat,,,,,
Ahilyanagar,2016,Jamkhed,1638,477,132,144,2
Ahilyanagar,2017,Akole,,,,,
Ahilyanagar,2017,Sangamner,,,,,
Ahilyanagar,2017,Kopargaon,,,,,
Ahilyanagar,2017,Rahata,,,,,
Ahilyanagar,2017,Srirampur,,,,,
Ahilyanagar,2017,Nevasa,,,,,
Ahilyanagar,2017,Shevgaon,,,,,
Ahilyanagar,2017,Pathardi,,,,,
Ahilyanagar,2017,Nagar,,,,,
Ahilyanagar,2017,Rahuri,,,,,
Ahilyanagar,2017,Parner,,,,,
Ahilyanagar,2017,Srigonda,,,,,
Ahilyanagar,2017,Karjat,,,,,
Ahilyanagar,2017,Jamkhed,,,,,
Ahilyanagar,2018,Akole,0,0,0,0,427
Ahilyanagar,2018,Sangamner,0,9,0,0,2680
Ahilyanagar,2018,Kopargaon,2,5,0,0,1455
Ahilyanagar,2018,Rahata,0,0,0,0,815
Ahilyanagar,2018,Srirampur,1,7,0,0,1215
Ahilyanagar,2018,Nevasa,0,2,0,0,635
Ahilyanagar,2018,Shevgaon,0,0,0,0,525
Ahilyanagar,2018,Pathardi,0,1,0,0,630
Ahilyanagar,2018,Nagar,11,56,3,0,14086
Ahilyanagar,2018,Rahuri,1,4,0,0,960
Ahilyanagar,2018,Parner,0,3,0,0,837
Ahilyanagar,2018,Srigonda,0,1,0,0,955
Ahilyanagar,2018,Karjat,0,0,0,0,340
Ahilyanagar,2018,Jamkhed,0,0,0,0,540
Ahilyanagar,2019,Akole,0,0,0,0,434
Ahilyanagar,2019,Sangamner,1,10,0,0,2749
Ahilyanagar,2019,Kopargaon,2,5,0,0,1549
Ahilyanagar,2019,Rahata,0,0,0,0,821
Ahilyanagar,2019,Srirampur,1,8,0,0,1316
Ahilyanagar,2019,Nevasa,0,2,0,0,639
Ahilyanagar,2019,Shevgaon,0,0,0,0,529
Ahilyanagar,2019,Pathardi,0,1,0,0,630
Ahilyanagar,2019,Nagar,13,58,3,0,14476
Ahilyanagar,2019,Rahuri,2,4,0,0,1101
Ahilyanagar,2019,Parner,0,3,0,0,881
Ahilyanagar,2019,Srigonda,0,1,0,0,981
Ahilyanagar,2019,Karjat,0,0,0,0,381
Ahilyanagar,2019,Jamkhed,0,0,0,0,562
Ahilyanagar,2020,Akole,0,0,0,0,448
Ahilyanagar,2020,Sangamner,2,13,0,0,2573
Ahilyanagar,2020,Kopargaon,4,4,0,0,1620
Ahilyanagar,2020,Rahata,1,2,0,0,845
Ahilyanagar,2020,Srirampur,1,8,0,0,1350
Ahilyanagar,2020,Nevasa,0,3,0,0,589
Ahilyanagar,2020,Shevgaon,2,0,0,0,548
Ahilyanagar,2020,Pathardi,0,2,0,0,675
Ahilyanagar,2020,Nagar,28,63,3,0,14527
Ahilyanagar,2020,Rahuri,3,4,0,0,1090
Ahilyanagar,2020,Parner,1,3,0,0,910
Ahilyanagar,2020,Srigonda,0,2,0,0,990
Ahilyanagar,2020,Karjat,0,0,0,0,345
Ahilyanagar,2020,Jamkhed,1,0,0,0,570
Ahilyanagar,2021,Akole,0,0,0,0,0
Ahilyanagar,2021,Sangamner,2296,1284,234,6,456
Ahilyanagar,2021,Kopargaon,1701,644,72,1,245
Ahilyanagar,2021,Rahata,0,0,0,0,0
Ahilyanagar,2021,Srirampur,2585,909,143,2,225
Ahilyanagar,2021,Nevasa,0,0,0,0,0
Ahilyanagar,2021,Shevgaon,0,0,0,0,0
Ahilyanagar,2021,Pathardi,0,0,0,0,0
Ahilyanagar,2021,Nagar,12712,7298,1264,14,3435
Ahilyanagar,2021,Rahuri,944,334,57,0,104
Ahilyanagar,2021,Parner,0,0,0,0,0
Ahilyanagar,2021,Srigonda,0,0,0,0,0
Ahilyanagar,2021,Karjat,0,0,0,0,0
Ahilyanagar,2021,Jamkhed,0,0,0,0,0
Akola,2012,Telhara,0,0,0,0,
Akola,2012,Akot,303,184,94,3,
Akola,2012,Balapur,32,35,13,1,
Akola,2012,Akola,14422,3698,679,69,
Akola,2012,Murtijapur,214,104,49,1,
Akola,2012,Patur,0,0,0,0,
Akola,2012,Barshitakali,0,0,0,0,
Akola,2013,Telhara,0,0,0,0,
Akola,2013,Akot,311,194,72,3,
Akola,2013,Balapur,34,36,7,1,
Akola,2013,Akola,14519,3825,656,69,
Akola,2013,Murtijapur,220,111,46,1,
Akola,2013,Patur,0,0,0,0,
Akola,2013,Barshitakali,0,0,0,0,
Akola,2014,Telhara,0,0,0,0,
Akola,2014,Akot,353,207,85,3,
Akola,2014,Balapur,27,37,14,2,
Akola,2014,Akola,14719,13712,734,81,
Akola,2014,Murtijapur,249,138,54,1,
Akola,2014,Patur,0,0,0,0,
Akola,2014,Barshitakali,0,0,0,0,
Akola,2015,Telhara,,,,,
Akola,2015,Akot,,,,,
Akola,2015,Balapur,,,,,
Akola,2015,Akola,,,,,
Akola,2015,Murtijapur,,,,,
Akola,2015,Patur,,,,,
Akola,2015,Barshitakali,,,,,
Akola,2016,Telhara,0,0,0,0,
Akola,2016,Akot,2150,1052,250,4,
Akola,2016,Balapur,21,40,19,2,
Akola,2016,Akola,30666,12853,103,139,
Akola,2016,Murtijapur,4286,1480,421,3,
Akola,2016,Patur,0,0,0,0,
Akola,2016,Barshitakali,0,0,0,0,
Akola,2017,Telhara,0,0,0,0,
Akola,2017,Akot,2344,1078,252,4,
Akola,2017,Balapur,1171,862,76,1,
Akola,2017,Akola,33098,13655,204,133,
Akola,2017,Murtijapur,4544,1480,421,3,
Akola,2017,Patur,0,0,0,0,
Akola,2017,Barshitakali,0,0,0,0,
Akola,2018,Telhara,0,0,0,0,0
Akola,2018,Akot,1,4,0,0,0
Akola,2018,Balapur,0,1,0,0,0
Akola,2018,Akola,14,33,1,0,0
Akola,2018,Murtijapur,1,2,0,0,0
Akola,2018,Patur,0,0,0,0,0
Akola,2018,Barshitakali,0,0,0,0,0
Akola,2019,Telhara,0,0,0,0,0
Akola,2019,Akot,2,7,0,0,0
Akola,2019,Balapur,0,1,0,0,0
Akola,2019,Akola,19,59,3,0,0
Akola,2019,Murtijapur,1,3,0,0,0
Akola,2019,Patur,0,0,0,0,0
Akola,2019,Barshitakali,0,0,0,0,0
Akola,2020,Telhara,0,0,0,0,0
Akola,2020,Akot,2,13,0,0,0
Akola,2020,Balapur,0,1,0,0,0
Akola,2020,Akola,35,98,7,1,0
Akola,2020,Murtijapur,1,6,0,0,0
Akola,2020,Patur,0,0,0,0,0
Akola,2020,Barshitakali,0,0,0,0,0
Akola,2021,Telhara,0,0,0,0,0
Akola,2021,Akot,5,16,0,0,0
Akola,2021,Balapur,0,1,0,0,0
Akola,2021,Akola,69,121,9,1,0
Akola,2021,Murtijapur,1,6,0,0,0
Akola,2021,Patur,0,0,0,0,0
Akola,2021,Barshitakali,0,0,0,0,0
Amravati,2012,Dharani,,,,,
Amravati,2012,Chikhraldara,,,,,
Amravati,2012,Anjangaon Su,195,109,52,2,
Amravati,2012,Achalpur,395,300,74,2,
Amravati,2012,Chandurbazar,,,,,
Amravati,2012,Morshi,172,78,49,2,
Amravati,2012,Warud,196,154,71,2,
Amravati,2012,Tivas,,,,,
Amravati,2012,Amravati,2793,3064,974,12,
Amravati,2012,Bhatkuli,,,,,
Amravati,2012,Daryapur,215,144,55,1,
Amravati,2012,Nandgaon Kh,,,,,
Amravati,2012,Chandur Railway,155,113,44,0,
Amravati,2012,Dhamangaon Re,196,154,77,2,
Amravati,2013,Dharani,,,,,
Amravati,2013,Chikhraldara,,,,,
Amravati,2013,Anjangaon Su,215,116,58,2,
Amravati,2013,Achalpur,429,331,78,2,
Amravati,2013,Chandurbazar,,,,,
Amravati,2013,Morshi,173,81,43,2,
Amravati,2013,Warud,203,160,64,2,
Amravati,2013,Tivas,,,,,
Amravati,2013,Amravati,3205,3328,1093,13,
Amravati,2013,Bhatkuli,,,,,
Amravati,2013,Daryapur,254,158,123,1,
Amravati,2013,Nandgaon Kh,,,,,
Amravati,2013,Chandur Railway,166,125,47,0,
Amravati,2013,Dhamangaon Re,205,163,81,2,
Amravati,2014,Dharani,,,,,
Amravati,2014,Chikhraldara,,,,,
Amravati,2014,Anjangaon Su,232,128,62,2,
Amravati,2014,Achalpur,462,353,80,2,
Amravati,2014,Chandurbazar,,,,,
Amravati,2014,Morshi,178,82,52,2,
Amravati,2014,Warud,210,165,67,2,
Amravati,2014,Tivas,,,,,
Amravati,2014,Amravati,2053,1630,755,9,
Amravati,2014,Bhatkuli,,,,,
Amravati,2014,Daryapur,284,168,63,1,
Amravati,2014,Nandgaon Kh,,,,,
Amravati,2014,Chandur Railway,182,138,51,0,
Amravati,2014,Dhamangaon Re,218,165,85,2,
Amravati,2015,Dharani,,,,,
Amravati,2015,Chikhraldara,,,,,
Amravati,2015,Anjangaon Su,261,144,76,2,
Amravati,2015,Achalpur,542,427,110,2,
Amravati,2015,Chandurbazar,,,,,
Amravati,2015,Morshi,227,196,60,2,
Amravati,2015,Warud,246,193,84,2,
Amravati,2015,Tivas,,,,,
Amravati,2015,Amravati,2923,2074,911,9,
Amravati,2015,Bhatkuli,,,,,
Amravati,2015,Daryapur,319,198,69,1,
Amravati,2015,Nandgaon Kh,,,,,
Amravati,2015,Chandur Railway,210,161,54,0,
Amravati,2015,Dhamangaon Re,235,184,87,2,
Amravati,2016,Dharani,,,,,
Amravati,2016,Chikhraldara,,,,,
Amravati,2016,Anjangaon Su,275,150,80,2,
Amravati,2016,Achalpur,556,444,122,2,
Amravati,2016,Chandurbazar,,,,,
Amravati,2016,Morshi,240,207,65,2,
Amravati,2016,Warud,286,205,89,2,
Amravati,2016,Tivas,,,,,
Amravati,2016,Amravati,2955,2102,951,9,
Amravati,2016,Bhatkuli,,,,,
Amravati,2016,Daryapur,330,205,75,1,
Amravati,2016,Nandgaon Kh,,,,,
Amravati,2016,Chandur Railway,221,172,62,0,
Amravati,2016,Dhamangaon Re,242,195,92,2,
Amravati,2017,Dharani,,,,,
Amravati,2017,Chikhraldara,,,,,
Amravati,2017,Anjangaon Su,281,160,82,2,
Amravati,2017,Achalpur,565,460,125,2,
Amravati,2017,Chandurbazar,,,,,
Amravati,2017,Morshi,251,212,72,2,
Amravati,2017,Warud,297,214,96,2,
Amravati,2017,Tivas,,,,,
Amravati,2017,Amravati,3170,2214,962,9,
Amravati,2017,Bhatkuli,,,,,
Amravati,2017,Daryapur,345,217,80,1,
Amravati,2017,Nandgaon Kh,,,,,
Amravati,2017,Chandur Railway,232,183,67,0,
Amravati,2017,Dhamangaon Re,272,198,97,2,
Amravati,2018,Dharani,,,,,
Amravati,2018,Chikhraldara,,,,,
Amravati,2018,Anjangaon Su,,,,302,86
Amravati,2018,Achalpur,,,,601,132
Amravati,2018,Chandurbazar,,,,,
Amravati,2018,Morshi,,,,298,78
Amravati,2018,Warud,,,,330,101
Amravati,2018,Tivas,,,,,
Amravati,2018,Amravati,,,,3320,988
Amravati,2018,Bhatkuli,,,,,
Amravati,2018,Daryapur,,,,380,84
Amravati,2018,Nandgaon Kh,,,,,
Amravati,2018,Chandur Railway,,,,275,71
Amravati,2018,Dhamangaon Re,,,,292,99
Amravati,2019,Dharani,,,,,
Amravati,2019,Chikhraldara,,,,,
Amravati,2019,Anjangaon Su,506,317,85,2,2493
Amravati,2019,Achalpur,566,465,101,2,3325
Amravati,2019,Chandurbazar,,,,,
Amravati,2019,Morshi,222,105,61,2,1245
Amravati,2019,Warud,264,193,81,2,1849
Amravati,2019,Tivas,,,,,
Amravati,2019,Amravati,5832,3817,1647,9,24510
Amravati,2019,Bhatkuli,,,,,
Amravati,2019,Daryapur,657,433,110,2,2565
Amravati,2019,Nandgaon Kh,,,,,
Amravati,2019,Chandur Railway,282,220,80,0,671
Amravati,2019,Dhamangaon Re,321,215,103,2,951
Amravati,2020,Dharani,,,,,
Amravati,2020,Chikhraldara,,,,,
Amravati,2020,Anjangaon Su,509,321,86,2,2516
Amravati,2020,Achalpur,568,466,102,2,3501
Amravati,2020,Chandurbazar,,,,,
Amravati,2020,Morshi,253,118,66,2,1611
Amravati,2020,Warud,298,216,91,2,2420
Amravati,2020,Tivas,,,,,
Amravati,2020,Amravati,5992,3907,1661,9,32961
Amravati,2020,Bhatkuli,,,,,
Amravati,2020,Daryapur,661,438,112,2,2588
Amravati,2020,Nandgaon Kh,,,,,
Amravati,2020,Chandur Railway,287,227,83,0,677
Amravati,2020,Dhamangaon Re,325,218,105,2,957
Amravati,2021,Dharani,22,37,18,1,333
Amravati,2021,Chikhraldara,39,42,24,,350
Amravati,2021,Anjangaon Su,512,329,88,,1921
Amravati,2021,Achalpur,571,472,104,1,5501
Amravati,2021,Chandurbazar,52,61,11,,1105
Amravati,2021,Morshi,257,121,67,2,1641
Amravati,2021,Warud,301,222,92,1,2478
Amravati,2021,Tivas,43,47,9,,1233
Amravati,2021,Amravati,8391,5060,1699,6,41911
Amravati,2021,Bhatkuli,4,5,6,,622
Amravati,2021,Daryapur,665,441,112,1,2401
Amravati,2021,Nandgaon Kh,6,5,8,,
Amravati,2021,Chandur Railway,289,248,85,,711
Amravati,2021,Dhamangaon Re,328,223,106,2,998
Beed,2013,Ashti,38,6,2,0,
Beed,2013,Patoda,38,40,2,0,
Beed,2013,Shirur Kasar,0,0,0,0,
Beed,2013,Gevrai,163,46,10,1,
Beed,2013,Majalgaon,185,48,9,1,
Beed,2013,Wadwani,48,17,3,0,
Beed,2013,Beed,611,302,38,2,
Beed,2013,Cage,110,49,14,0,
Beed,2013,Dharur,7,10,91,0,
Beed,2013,Parli,251,137,20,3,
Beed,2013,Ambajogai,81,60,16,1,
Beed,2014,Ashti,889,239,96,1,
Beed,2014,Patoda,860,310,85,0,
Beed,2014,Shirur Kasar,0,0,0,0,
Beed,2014,Gevrai,2415,605,190,1,
Beed,2014,Majalgaon,3209,787,169,1,
Beed,2014,Wadwani,805,337,285,0,
Beed,2014,Beed,12728,4906,1040,2,
Beed,2014,Cage,118,32,11,0,
Beed,2014,Dharur,811,186,91,0,
Beed,2014,Parli,5211,1702,397,3,
Beed,2014,Ambajogai,5101,1365,419,1,
Beed,2015,Ashti,970,267,103,1,
Beed,2015,Patoda,873,310,85,0,
Beed,2015,Shirur Kasar,0,0,0,0,
Beed,2015,Gevrai,2545,637,204,1,
Beed,2015,Majalgaon,3277,829,176,1,
Beed,2015,Wadwani,820,343,139,0,
Beed,2015,Beed,12921,5072,1077,2,
Beed,2015,Cage,168,218,88,0,
Beed,2015,Dharur,873,190,92,0,
Beed,2015,Parli,5249,1785,410,3,
Beed,2015,Ambajogai,5350,1595,427,1,
Beed,2016,Ashti,665,205,85,1,
Beed,2016,Patoda,525,195,65,0,
Beed,2016,Shirur Kasar,0,0,0,0,
Beed,2016,Gevrai,1601,403,105,2,
Beed,2016,Majalgaon,1826,685,160,3,
Beed,2016,Wadwani,516,170,55,0,
Beed,2016,Beed,9325,3700,970,5,
Beed,2016,Cage,198,224,89,3,
Beed,2016,Dharur,407,165,85,3,
Beed,2016,Parli,2211,885,207,3,
Beed,2016,Ambajogai,2125,860,304,2,
Beed,2017,Ashti,1172,304,111,1,
Beed,2017,Patoda,1146,368,103,0,
Beed,2017,Shirur Kasar,0,0,0,0,
Beed,2017,Gevrai,3270,774,229,2,
Beed,2017,Majalgaon,4028,971,202,3,
Beed,2017,Wadwani,1211,388,166,0,
Beed,2017,Beed,16577,6115,1267,5,
Beed,2017,Cage,242,280,96,3,
Beed,2017,Dharur,6968,2252,506,3,
Beed,2017,Parli,1207,221,102,3,
Beed,2017,Ambajogai,6701,1898,477,2,
Beed,2018,Ashti,1702,535,240,1,1683
Beed,2018,Patoda,1274,436,145,0,1601
Beed,2018,Shirur Kasar,141,41,10,0,59
Beed,2018,Gevrai,5407,998,289,2,3246
Beed,2018,Majalgaon,4060,978,203,3,4011
Beed,2018,Wadwani,1475,446,201,0,1522
Beed,2018,Beed,17235,6296,1313,5,19284
Beed,2018,Cage,2601,857,201,3,3037
Beed,2018,Dharur,7236,2332,541,3,7392
Beed,2018,Parli,1398,523,197,3,1881
Beed,2018,Ambajogai,7304,2058,529,2,7322
Beed,2019,Ashti,2171,790,304,1,1820
Beed,2019,Patoda,1514,518,162,0,1793
Beed,2019,Shirur Kasar,218,60,13,0,59
Beed,2019,Gevrai,6523,481,370,4,3504
Beed,2019,Majalgaon,4060,978,203,3,4011
Beed,2019,Wadwani,1926,534,249,0,1629
Beed,2019,Beed,19561,7131,1513,5,19839
Beed,2019,Cage,2692,879,212,3,3037
Beed,2019,Dharur,7480,2397,558,3,7428
Beed,2019,Parli,3506,896,263,5,2303
Beed,2019,Ambajogai,7832,2270,578,2,7591
Beed,2020,Ashti,2878,1061,399,1,1855
Beed,2020,Patoda,2036,709,236,0,1899
Beed,2020,Shirur Kasar,391,109,31,0,93
Beed,2020,Gevrai,8149,836,466,4,3693
Beed,2020,Majalgaon,4212,1022,213,3,4021
Beed,2020,Wadwani,2309,619,279,0,1678
Beed,2020,Beed,20523,7582,1579,5,19991
Beed,2020,Cage,2935,916,244,3,3087
Beed,2020,Dharur,7826,2505,590,3,7574
Beed,2020,Parli,5204,1567,557,5,2861
Beed,2020,Ambajogai,9330,2761,763,2,7936
Beed,2021,Ashti,3574,1386,483,1,1886
Beed,2021,Patoda,2476,855,295,0,1970
Beed,2021,Shirur Kasar,468,136,32,0,97
Beed,2021,Gevrai,9792,1297,592,4,3774
Beed,2021,Majalgaon,4352,1069,220,3,4032
Beed,2021,Wadwani,2603,684,297,0,1705
Beed,2021,Beed,21619,8006,1674,5,20092
Beed,2021,Cage,3133,1096,273,3,3898
Beed,2021,Dharur,8169,2699,637,3,7600
Beed,2021,Parli,6597,2304,682,5,3036
Beed,2021,Ambajogai,10829,3548,889,2,8184
Bhandara,2012,Tumsar,196,196,39,0,
Bhandara,2012,Mohadi,12,13,6,0,
Bhandara,2012,Bhandara,1032,1026,118,1,
Bhandara,2012,Sakoli,38,21,7,0,
Bhandara,2012,Lakhani,18,22,13,0,
Bhandara,2012,Pavani,30,19,7,2,
Bhandara,2012,Lakhandur,13,22,8,0,
Bhandara,2013,Tumsar,205,221,38,0,
Bhandara,2013,Mohadi,13,16,70,0,
Bhandara,2013,Bhandara,270,988,117,1,
Bhandara,2013,Sakoli,39,23,8,0,
Bhandara,2013,Lakhani,20,22,14,0,
Bhandara,2013,Pavani,35,21,9,2,
Bhandara,2013,Lakhandur,13,23,8,0,
Bhandara,2014,Tumsar,209,237,42,0,
Bhandara,2014,Mohadi,14,16,71,0,
Bhandara,2014,Bhandara,322,1045,120,1,
Bhandara,2014,Sakoli,40,24,8,0,
Bhandara,2014,Lakhani,21,23,14,0,
Bhandara,2014,Pavani,35,22,9,2,
Bhandara,2014,Lakhandur,15,24,8,0,
Bhandara,2015,Tumsar,244,256,43,0,
Bhandara,2015,Mohadi,21,19,74,0,
Bhandara,2015,Bhandara,382,1107,124,1,
Bhandara,2015,Sakoli,46,25,9,0,
Bhandara,2015,Lakhani,26,24,17,0,
Bhandara,2015,Pavani,37,26,10,2,
Bhandara,2015,Lakhandur,23,33,11,0,
Bhandara,2016,Tumsar,355,279,46,1,
Bhandara,2016,Mohadi,26,20,76,0,
Bhandara,2016,Bhandara,487,1127,217,1,
Bhandara,2016,Sakoli,46,26,12,0,
Bhandara,2016,Lakhani,27,24,19,0,
Bhandara,2016,Pavani,36,28,13,2,
Bhandara,2016,Lakhandur,25,35,12,0,
Bhandara,2017,Tumsar,361,277,51,1,
Bhandara,2017,Mohadi,12,9,5,0,
Bhandara,2017,Bhandara,5454,3076,239,1,
Bhandara,2017,Sakoli,8,3,3,0,
Bhandara,2017,Lakhani,2,3,2,0,
Bhandara,2017,Pavani,3,3,2,1,
Bhandara,2017,Lakhandur,3,2,3,0,
Bhandara,2018,Tumsar,507,366,80,1,263
Bhandara,2018,Mohadi,13,10,8,0,8
Bhandara,2018,Bhandara,6201,3517,435,1,563
Bhandara,2018,Sakoli,33,23,20,0,10
Bhandara,2018,Lakhani,28,23,15,0,19
Bhandara,2018,Pavani,33,15,23,2,19
Bhandara,2018,Lakhandur,18,5,8,0,27
Bhandara,2019,Tumsar,516,369,83,1,1904
Bhandara,2019,Mohadi,22,12,10,0,412
Bhandara,2019,Bhandara,6206,3521,439,1,597
Bhandara,2019,Sakoli,36,27,24,0,17
Bhandara,2019,Lakhani,28,25,15,0,23
Bhandara,2019,Pavani,53,17,26,0,24
Bhandara,2019,Lakhandur,31,7,9,0,31
Bhandara,2020,Tumsar,441,271,56,1,16
Bhandara,2020,Mohadi,321,50,27,0,33
Bhandara,2020,Bhandara,622,654,52,1,622
Bhandara,2020,Sakoli,184,87,24,0,6
Bhandara,2020,Lakhani,286,31,41,0,36
Bhandara,2020,Pavani,423,51,51,0,95
Bhandara,2020,Lakhandur,312,169,67,0,122
Bhandara,2021,Tumsar,494,359,63,1,21
Bhandara,2021,Mohadi,389,104,31,0,37
Bhandara,2021,Bhandara,1288,1100,118,1,877
Bhandara,2021,Sakoli,436,197,56,0,26
Bhandara,2021,Lakhani,479,167,68,0,46
Bhandara,2021,Pavani,534,120,68,0,122
Bhandara,2021,Lakhandur,403,192,72,0,168
Buldhana,2013,Jalgaon Jamod,61,26,96,1,
Buldhana,2013,Sangrampur,,,,,
Buldhana,2013,Shegaon,296,350,163,2,
Buldhana,2013,Nandura,167,71,40,1,
Buldhana,2013,Malkapur,433,229,96,5,
Buldhana,2013,Motala,,,,,
Buldhana,2013,Khamgaon,570,736,131,3,
Buldhana,2013,Mehkar,255,141,55,3,
Buldhana,2013,Chikhali,450,219,143,2,
Buldhana,2013,Buldhana,550,587,194,3,
Buldhana,2013,Deulgaon Raja,208,132,61,2,
Buldhana,2013,Sindkhed Raja,,,,,
Buldhana,2013,Lonar,,,,,
Buldhana,2014,Jalgaon Jamod,310,85,27,,
Buldhana,2014,Sangrampur,,,,,
Buldhana,2014,Shegaon,309,270,208,3,
Buldhana,2014,Nandura,946,228,70,1,
Buldhana,2014,Malkapur,1548,589,169,5,
Buldhana,2014,Motala,,,,,
Buldhana,2014,Khamgaon,581,749,123,2,
Buldhana,2014,Mehkar,280,151,57,3,
Buldhana,2014,Chikhali,1602,656,329,2,
Buldhana,2014,Buldhana,864,617,204,3,
Buldhana,2014,Deulgaon Raja,247,245,73,2,
Buldhana,2014,Sindkhed Raja,,,,,
Buldhana,2014,Lonar,,,,,
Buldhana,2015,Jalgaon Jamod,310,85,27,0,
Buldhana,2015,Sangrampur,,,,,
Buldhana,2015,Shegaon,1116,530,182,3,
Buldhana,2015,Nandura,946,228,70,1,
Buldhana,2015,Malkapur,1548,589,169,5,
Buldhana,2015,Motala,,,,,
Buldhana,2015,Khamgaon,543,719,118,3,
Buldhana,2015,Mehkar,987,656,132,2,
Buldhana,2015,Chikhali,442,211,143,2,
Buldhana,2015,Buldhana,538,577,132,3,
Buldhana,2015,Deulgaon Raja,809,313,64,2,
Buldhana,2015,Sindkhed Raja,,,,,
Buldhana,2015,Lonar,,,,,
Buldhana,2016,Jalgaon Jamod,641,117,14,0,
Buldhana,2016,Sangrampur,,,,,
Buldhana,2016,Shegaon,415,78,45,2,
Buldhana,2016,Nandura,639,206,56,3,
Buldhana,2016,Malkapur,1082,349,53,5,
Buldhana,2016,Motala,,,,,
Buldhana,2016,Khamgaon,,,,,
Buldhana,2016,Mehkar,710,137,24,5,
Buldhana,2016,Chikhali,,,,,
Buldhana,2016,Buldhana,,,,,
Buldhana,2016,Deulgaon Raja,,,,,
Buldhana,2016,Sindkhed Raja,,,,,
Buldhana,2016,Lonar,,,,,
Buldhana,2017,Jalgaon Jamod,1641,292,50,,
Buldhana,2017,Sangrampur,,,,,
Buldhana,2017,Shegaon,423,91,58,,
Buldhana,2017,Nandura,,,,,
Buldhana,2017,Malkapur,,,,,
Buldhana,2017,Motala,,,,,
Buldhana,2017,Khamgaon,510,169,25,1,
Buldhana,2017,Mehkar,190,61,22,4,
Buldhana,2017,Chikhali,668,227,39,1,
