District,Year,Taluka,Shops,Business Organizations,Hotels and Restaurants,Cinema Halls
Ahilyanagar,2014,Rahuri,641,834,234,4
Ahilyanagar,2014,Parner,,,,
Ahilyanagar,2014,Srigonda,,,,
Ahilyanagar,2014,Karjat,,,,
Ahilyanagar,2014,Jamkhed,,,,
Ahilyanagar,2015,Akole,,,,
Ahilyanagar,2015,Sangamner,2267,3323,686,7
Ahilyanagar,2015,Kopargaon,1428,1972,416,19
Ahilyanagar,2015,Rahata,,,,
Ahilyanagar,2015,Srirampur,3067,2968,619,29
Ahilyanagar,2015,Nevasa,,,,
Ahilyanagar,2015,Shevgaon,477,490,240,2
Ahilyanagar,2015,Pathardi,289,240,131,2
Ahilyanagar,2015,Nagar,7056,14597,2802,44
Ahilyanagar,2015,Rahuri,698,943,254,10
Ahilyanagar,2015,Parner,,,,
Ahilyanagar,2015,Srigonda,,,,
Ahilyanagar,2015,Karjat,,,,
Ahilyanagar,2015,Jamkhed,,,,
Ahilyanagar,2016,Akole,,,,
Ahilyanagar,2016,Sangamner,2525,3649,,6
Ahilyanagar,2016,Kopargaon,1647,2250,,7
Ahilyanagar,2016,Rahata,,,,
Ahilyanagar,2016,Srirampur,2622,3415,,5
Ahilyanagar,2016,Nevasa,,,,
Ahilyanagar,2016,Shevgaon,594,614,,2
Ahilyanagar,2016,Pathardi,346,252,,1
Ahilyanagar,2016,Nagar,8435,16283,,25
Ahilyanagar,2016,Rahuri,786,1016,,1
Ahilyanagar,2016,Parner,,,,
Ahilyanagar,2016,Srigonda,1,,,
Ahilyanagar,2016,Karjat,,,,
Ahilyanagar,2016,Jamkhed,581,481,,2
Ahilyanagar,2017,Akole,,,,
Ahilyanagar,2017,Sangamner,,,,
Ahilyanagar,2017,Kopargaon,,,,
Ahilyanagar,2017,Rahata,,,,
Ahilyanagar,2017,Srirampur,,,,
Ahilyanagar,2017,Nevasa,,,,
Ahilyanagar,2017,Shevgaon,,,,
Ahilyanagar,2017,Pathardi,,,,
Ahilyanagar,2017,Nagar,,,,
Ahilyanagar,2017,Rahuri,,,,
Ahilyanagar,2017,Parner,,,,
Ahilyanagar,2017,Srigonda,,,,
Ahilyanagar,2017,Karjat,,,,
Ahilyanagar,2017,Jamkhed,,,,
Ahilyanagar,2018,Akole,0,0,0,0
Ahilyanagar,2018,Sangamner,0,227,0,0
Ahilyanagar,2018,Kopargaon,33,170,0,0
Ahilyanagar,2018,Rahata,0,0,0,0
Ahilyanagar,2018,Srirampur,15,115,0,0
Ahilyanagar,2018,Nevasa,0,57,0,0
Ahilyanagar,2018,Shevgaon,0,0,0,0
Ahilyanagar,2018,Pathardi,0,14,0,0
Ahilyanagar,2018,Nagar,190,1040,49,0
Ahilyanagar,2018,Rahuri,19,60,0,0
Ahilyanagar,2018,Parner,0,79,0,0
Ahilyanagar,2018,Srigonda,0,13,0,0
Ahilyanagar,2018,Karjat,0,0,0,0
Ahilyanagar,2018,Jamkhed,0,0,0,0
Ahilyanagar,2019,Akole,0,0,0,0
Ahilyanagar,2019,Sangamner,10,238,0,0
Ahilyanagar,2019,Kopargaon,33,170,0,0
Ahilyanagar,2019,Rahata,0,0,0,0
Ahilyanagar,2019,Srirampur,15,128,0,0
Ahilyanagar,2019,Nevasa,0,57,0,0
Ahilyanagar,2019,Shevgaon,0,0,0,0
Ahilyanagar,2019,Pathardi,0,14,0,0
Ahilyanagar,2019,Nagar,190,1062,49,0
Ahilyanagar,2019,Rahuri,31,60,0,0
Ahilyanagar,2019,Parner,0,79,0,0
Ahilyanagar,2019,Srigonda,0,13,0,0
Ahilyanagar,2019,Karjat,0,0,0,0
Ahilyanagar,2019,Jamkhed,0,0,0,0
Ahilyanagar,2020,Akole,0,0,0,0
Ahilyanagar,2020,Sangamner,15,245,0,0
Ahilyanagar,2020,Kopargaon,35,166,0,0
Ahilyanagar,2020,Rahata,11,19,0,0
Ahilyanagar,2020,Srirampur,15,121,0,0
Ahilyanagar,2020,Nevasa,0,88,0,0
Ahilyanagar,2020,Shevgaon,21,0,0,0
Ahilyanagar,2020,Pathardi,0,23,0,0
Ahilyanagar,2020,Nagar,225,1083,49,0
Ahilyanagar,2020,Rahuri,39,60,0,0
Ahilyanagar,2020,Parner,13,79,0,0
Ahilyanagar,2020,Srigonda,0,21,0,0
Ahilyanagar,2020,Karjat,0,0,0,0
Ahilyanagar,2020,Jamkhed,13,0,0,0
Ahilyanagar,2021,Akole,0,0,0,0
Ahilyanagar,2021,Sangamner,5978,5095,905,17
Ahilyanagar,2021,Kopargaon,3852,2147,336,2
Ahilyanagar,2021,Rahata,0,0,0,0
Ahilyanagar,2021,Srirampur,5746,2978,563,6
Ahilyanagar,2021,Nevasa,0,0,0,0
Ahilyanagar,2021,Shevgaon,0,0,0,0
Ahilyanagar,2021,Pathardi,0,0,0,0
Ahilyanagar,2021,Nagar,29665,27516,4743,46
Ahilyanagar,2021,Rahuri,2340,1436,224,0
Ahilyanagar,2021,Parner,0,0,0,0
Ahilyanagar,2021,Srigonda,0,0,0,0
Ahilyanagar,2021,Karjat,0,0,0,0
Ahilyanagar,2021,Jamkhed,0,0,0,0
Akola,2012,Telhara,0,0,0,0
Akola,2012,Akot,310,632,218,17
Akola,2012,Balapur,43,82,41,7
Akola,2012,Akola,7237,8175,3224,187
Akola,2012,Murtijapur,283,446,75,9
Akola,2012,Patur,0,0,0,0
Akola,2012,Barshitakali,0,0,0,0
Akola,2013,Telhara,0,0,0,0
Akola,2013,Akot,388,640,277,17
Akola,2013,Balapur,47,83,26,7
Akola,2013,Akola,7393,8618,3204,187
Akola,2013,Murtijapur,289,458,71,7
Akola,2013,Patur,0,0,0,0
Akola,2013,Barshitakali,0,0,0,0
Akola,2014,Telhara,0,0,0,0
Akola,2014,Akot,430,713,306,17
Akola,2014,Balapur,49,84,41,7
Akola,2014,Akola,7763,8054,3511,143
Akola,2014,Murtijapur,319,521,89,9
Akola,2014,Patur,0,0,0,0
Akola,2014,Barshitakali,0,0,0,0
Akola,2015,Telhara,,,,
Akola,2015,Akot,,,,
Akola,2015,Balapur,,,,
Akola,2015,Akola,,,,
Akola,2015,Murtijapur,,,,
Akola,2015,Patur,,,,
Akola,2015,Barshitakali,,,,
Akola,2016,Telhara,0,0,0,0
Akola,2016,Akot,573,753,310,15
Akola,2016,Balapur,51,88,44,7
Akola,2016,Akola,8657,10213,249,194
Akola,2016,Murtijapur,1020,1442,264,25
Akola,2016,Patur,0,0,0,0
Akola,2016,Barshitakali,0,0,0,0
Akola,2017,Telhara,0,0,0,0
Akola,2017,Akot,627,785,319,15
Akola,2017,Balapur,63,116,33,7
Akola,2017,Akola,10178,10483,274,194
Akola,2017,Murtijapur,1174,1442,264,25
Akola,2017,Patur,0,0,0,0
Akola,2017,Barshitakali,0,0,0,0
Akola,2018,Telhara,0,0,0,0
Akola,2018,Akot,10,58,0,0
Akola,2018,Balapur,0,21,0,0
Akola,2018,Akola,261,1207,14,0
Akola,2018,Murtijapur,10,24,0,0
Akola,2018,Patur,0,0,0,0
Akola,2018,Barshitakali,0,0,0,0
Akola,2019,Telhara,0,0,0,0
Akola,2019,Akot,23,133,0,0
Akola,2019,Balapur,0,21,0,0
Akola,2019,Akola,319,2091,41,0
Akola,2019,Murtijapur,10,34,0,0
Akola,2019,Patur,0,0,0,0
Akola,2019,Barshitakali,0,0,0,0
Akola,2020,Telhara,0,0,0,0
Akola,2020,Akot,23,258,0,0
Akola,2020,Balapur,0,21,0,0
Akola,2020,Akola,593,3678,154,48
Akola,2020,Murtijapur,10,78,0,0
Akola,2020,Patur,0,0,0,0
Akola,2020,Barshitakali,0,0,0,0
Akola,2021,Telhara,0,0,0,0
Akola,2021,Akot,61,349,0,0
Akola,2021,Balapur,0,21,0,0
Akola,2021,Akola,1740,4347,193,48
Akola,2021,Murtijapur,10,78,0,0
Akola,2021,Patur,0,0,0,0
Akola,2021,Barshitakali,0,0,0,0
Amravati,2012,Dharani,,,,
Amravati,2012,Chikhraldara,,,,
Amravati,2012,Anjangaon Su,174,444,112,12
Amravati,2012,Achalpur,647,1333,235,8
Amravati,2012,Chandurbazar,,,,
Amravati,2012,Morshi,301,455,117,9
Amravati,2012,Warud,322,795,193,17
Amravati,2012,Tivas,,,,
Amravati,2012,Amravati,6862,9374,2817,196
Amravati,2012,Bhatkuli,,,,
Amravati,2012,Daryapur,273,436,118,5
Amravati,2012,Nandgaon Kh,,,,
Amravati,2012,Chandur Railway,207,145,97,0
Amravati,2012,Dhamangaon Re,222,388,171,10
Amravati,2013,Dharani,,,,
Amravati,2013,Chikhraldara,,,,
Amravati,2013,Anjangaon Su,206,458,123,12
Amravati,2013,Achalpur,682,1369,251,8
Amravati,2013,Chandurbazar,,,,
Amravati,2013,Morshi,302,460,119,9
Amravati,2013,Warud,332,802,199,17
Amravati,2013,Tivas,,,,
Amravati,2013,Amravati,7074,9645,2992,199
Amravati,2013,Bhatkuli,,,,
Amravati,2013,Daryapur,335,469,57,5
Amravati,2013,Nandgaon Kh,,,,
Amravati,2013,Chandur Railway,220,155,102,0
Amravati,2013,Dhamangaon Re,230,324,177,10
Amravati,2014,Dharani,,,,
Amravati,2014,Chikhraldara,,,,
Amravati,2014,Anjangaon Su,255,579,130,12
Amravati,2014,Achalpur,712,1423,253,8
Amravati,2014,Chandurbazar,,,,
Amravati,2014,Morshi,309,466,122,9
Amravati,2014,Warud,343,838,202,17
Amravati,2014,Tivas,,,,
Amravati,2014,Amravati,4827,6711,2767,85
Amravati,2014,Bhatkuli,,,,
Amravati,2014,Daryapur,299,491,134,5
Amravati,2014,Nandgaon Kh,,,,
Amravati,2014,Chandur Railway,237,171,106,0
Amravati,2014,Dhamangaon Re,247,334,181,10
Amravati,2015,Dharani,,,,
Amravati,2015,Chikhraldara,,,,
Amravati,2015,Anjangaon Su,275,603,143,12
Amravati,2015,Achalpur,737,1453,1283,8
Amravati,2015,Chandurbazar,,,,
Amravati,2015,Morshi,329,487,140,9
Amravati,2015,Warud,358,878,222,17
Amravati,2015,Tivas,,,,
Amravati,2015,Amravati,4927,6911,2817,85
Amravati,2015,Bhatkuli,,,,
Amravati,2015,Daryapur,309,521,154,5
Amravati,2015,Nandgaon Kh,,,,
Amravati,2015,Chandur Railway,266,191,115,0
Amravati,2015,Dhamangaon Re,267,356,189,10
Amravati,2016,Dharani,,,,
Amravati,2016,Chikhraldara,,,,
Amravati,2016,Anjangaon Su,295,613,155,12
Amravati,2016,Achalpur,750,1465,488,8
Amravati,2016,Chandurbazar,,,,
Amravati,2016,Morshi,349,501,150,9
Amravati,2016,Warud,365,901,240,17
Amravati,2016,Tivas,,,,
Amravati,2016,Amravati,5122,6981,2846,85
Amravati,2016,Bhatkuli,,,,
Amravati,2016,Daryapur,320,540,165,5
Amravati,2016,Nandgaon Kh,,,,
Amravati,2016,Chandur Railway,275,202,127,0
Amravati,2016,Dhamangaon Re,280,377,197,10
Amravati,2017,Dharani,,,,
Amravati,2017,Chikhraldara,,,,
Amravati,2017,Anjangaon Su,298,620,157,12
Amravati,2017,Achalpur,760,1480,494,8
Amravati,2017,Chandurbazar,,,,
Amravati,2017,Morshi,355,510,165,9
Amravati,2017,Warud,372,912,265,17
Amravati,2017,Tivas,,,,
Amravati,2017,Amravati,5220,7015,2870,70
Amravati,2017,Bhatkuli,,,,
Amravati,2017,Daryapur,332,565,175,5
Amravati,2017,Nandgaon Kh,,,,
Amravati,2017,Chandur Railway,287,210,132,0
Amravati,2017,Dhamangaon Re,298,389,211,10
Amravati,2018,Dharani,,,,
Amravati,2018,Chikhraldara,,,,
Amravati,2018,Anjangaon Su,,,,340
Amravati,2018,Achalpur,,,,787
Amravati,2018,Chandurbazar,,,,
Amravati,2018,Morshi,,,,388
Amravati,2018,Warud,,,,391
Amravati,2018,Tivas,,,,
Amravati,2018,Amravati,,,,5510
Amravati,2018,Bhatkuli,,,,
Amravati,2018,Daryapur,,,,350
Amravati,2018,Nandgaon Kh,,,,
Amravati,2018,Chandur Railway,,,,297
Amravati,2018,Dhamangaon Re,,,,311
Amravati,2019,Dharani,,,,
Amravati,2019,Chikhraldara,,,,
Amravati,2019,Anjangaon Su,606,966,175,13
Amravati,2019,Achalpur,878,1098,369,8
Amravati,2019,Chandurbazar,,,,
Amravati,2019,Morshi,394,595,137,9
Amravati,2019,Warud,522,1020,260,17
Amravati,2019,Tivas,,,,
Amravati,2019,Amravati,15076,12566,3645,60
Amravati,2019,Bhatkuli,,,,
Amravati,2019,Daryapur,784,853,344,10
Amravati,2019,Nandgaon Kh,,,,
Amravati,2019,Chandur Railway,302,240,138,0
Amravati,2019,Dhamangaon Re,318,422,229,10
Amravati,2020,Dharani,,,,
Amravati,2020,Chikhraldara,,,,
Amravati,2020,Anjangaon Su,420,505,111,13
Amravati,2020,Achalpur,890,1104,371,8
Amravati,2020,Chandurbazar,,,,
Amravati,2020,Morshi,453,606,145,9
Amravati,2020,Warud,493,1095,235,17
Amravati,2020,Tivas,,,,
Amravati,2020,Amravati,16130,13602,3690,60
Amravati,2020,Bhatkuli,,,,
Amravati,2020,Daryapur,791,867,359,10
Amravati,2020,Nandgaon Kh,,,,
Amravati,2020,Chandur Railway,309,251,145,0
Amravati,2020,Dhamangaon Re,321,427,235,10
Amravati,2021,Dharani,24,39,21,2
Amravati,2021,Chikhraldara,41,44,26,
Amravati,2021,Anjangaon Su,514,351,91,
Amravati,2021,Achalpur,872,1030,108,4
Amravati,2021,Chandurbazar,55,64,13,
Amravati,2021,Morshi,1482,626,72,9
Amravati,2021,Warud,502,1112,95,3
Amravati,2021,Tivas,44,49,11,
Amravati,2021,Amravati,18121,15608,1711,48
Amravati,2021,Bhatkuli,5,7,7,
Amravati,2021,Daryapur,798,878,120,3
Amravati,2021,Nandgaon Kh,7,6,10,
Amravati,2021,Chandur Railway,316,265,87,
Amravati,2021,Dhamangaon Re,332,447,111,10
Beed,2013,Ashti,11,16,0,0
Beed,2013,Patoda,5,15,1,0
Beed,2013,Shirur Kasar,0,0,0,0
Beed,2013,Gevrai,37,39,75,10
Beed,2013,Majalgaon,35,29,15,10
Beed,2013,Wadwani,13,20,8,0
Beed,2013,Beed,173,216,36,20
Beed,2013,Cage,6,28,10,0
Beed,2013,Dharur,10,10,79,0
Beed,2013,Parli,77,93,20,30
Beed,2013,Ambajogai,94,73,34,10
Beed,2014,Ashti,141,187,117,2
Beed,2014,Patoda,115,9,70,0
Beed,2014,Shirur Kasar,0,0,0,0
Beed,2014,Gevrai,845,436,325,9
Beed,2014,Majalgaon,1138,1047,223,12
Beed,2014,Wadwani,142,386,83,0
Beed,2014,Beed,2380,4958,1419,32
Beed,2014,Cage,23,41,6,0
Beed,2014,Dharur,121,181,79,0
Beed,2014,Parli,1560,2336,861,41
Beed,2014,Ambajogai,1272,1544,742,16
Beed,2015,Ashti,141,187,117,2
Beed,2015,Patoda,115,9,70,0
Beed,2015,Shirur Kasar,0,0,0,0
Beed,2015,Gevrai,845,436,325,9
Beed,2015,Majalgaon,1134,1047,223,12
Beed,2015,Wadwani,142,386,83,0
Beed,2015,Beed,2388,4958,1419,32
Beed,2015,Cage,261,630,219,0
Beed,2015,Dharur,131,198,81,0
Beed,2015,Parli,1647,2402,880,41
Beed,2015,Ambajogai,1379,1709,760,16
Beed,2016,Ashti,116,135,97,2
Beed,2016,Patoda,95,96,55,0
Beed,2016,Shirur Kasar,0,0,0,0
Beed,2016,Gevrai,525,125,203,9
Beed,2016,Majalgaon,976,710,165,12
Beed,2016,Wadwani,85,75,70,0
Beed,2016,Beed,711,1700,1040,32
Beed,2016,Cage,292,478,196,9
Beed,2016,Dharur,97,75,87,6
Beed,2016,Parli,937,776,409,11
Beed,2016,Ambajogai,860,690,540,9
Beed,2017,Ashti,178,242,126,2
Beed,2017,Patoda,173,156,79,0
Beed,2017,Shirur Kasar,0,0,0,0
Beed,2017,Gevrai,1114,622,348,9
Beed,2017,Majalgaon,1410,1270,251,12
Beed,2017,Wadwani,262,422,85,0
Beed,2017,Beed,3821,6110,1618,32
Beed,2017,Cage,354,756,235,9
Beed,2017,Dharur,3340,3069,1052,6
Beed,2017,Parli,294,250,81,11
Beed,2017,Ambajogai,2036,2045,849,9
Beed,2018,Ashti,1191,836,556,2
Beed,2018,Patoda,406,301,292,0
Beed,2018,Shirur Kasar,314,115,31,0
Beed,2018,Gevrai,3503,1217,544,6
Beed,2018,Majalgaon,1463,1290,255,12
Beed,2018,Wadwani,2903,597,170,0
Beed,2018,Beed,5249,7560,2052,32
Beed,2018,Cage,369,787,250,9
Beed,2018,Dharur,3825,3149,1161,6
Beed,2018,Parli,2754,1333,410,11
Beed,2018,Ambajogai,3058,2471,1050,9
Beed,2019,Ashti,2190,1679,780,2
Beed,2019,Patoda,959,543,374,0
Beed,2019,Shirur Kasar,497,164,41,0
Beed,2019,Gevrai,5572,2212,785,11
Beed,2019,Majalgaon,1463,1290,255,12
Beed,2019,Wadwani,3839,825,298,0
Beed,2019,Beed,10660,10507,2737,32
Beed,2019,Cage,3511,1826,286,9
Beed,2019,Dharur,4218,3333,1193,6
Beed,2019,Parli,5428,2681,624,14
Beed,2019,Ambajogai,4079,3446,1210,9
Beed,2020,Ashti,3804,2582,1205,2
Beed,2020,Patoda,1911,1200,603,0
Beed,2020,Shirur Kasar,870,345,102,0
Beed,2020,Gevrai,8958,3464,1176,11
Beed,2020,Majalgaon,1824,1433,289,12
Beed,2020,Wadwani,4577,1141,387,0
Beed,2020,Beed,15909,11783,3061,32
Beed,2020,Cage,3942,1905,376,9
Beed,2020,Dharur,4842,3659,1294,6
Beed,2020,Parli,9350,4609,1040,14
Beed,2020,Ambajogai,7222,5077,1524,9
Beed,2021,Ashti,5332,3754,1518,2
Beed,2021,Patoda,2924,1744,821,0
Beed,2021,Shirur Kasar,1059,418,103,0
Beed,2021,Gevrai,12543,5062,1558,11
Beed,2021,Majalgaon,2173,1627,313,12
Beed,2021,Wadwani,5160,1189,435,0
Beed,2021,Beed,18509,13231,3403,32
Beed,2021,Cage,4115,2103,408,9
Beed,2021,Dharur,5492,4098,1931,6
Beed,2021,Parli,12011,6546,1932,14
Beed,2021,Ambajogai,10296,7569,1934,9
Bhandara,2012,Tumsar,288,1045,97,0
Bhandara,2012,Mohadi,13,17,10,0
Bhandara,2012,Bhandara,1001,3268,372,5
Bhandara,2012,Sakoli,43,49,12,0
Bhandara,2012,Lakhani,16,27,18,0
Bhandara,2012,Pavani,34,34,12,6
Bhandara,2012,Lakhandur,16,29,11,0
Bhandara,2013,Tumsar,307,1208,97,0
Bhandara,2013,Mohadi,14,20,12,0
Bhandara,2013,Bhandara,1083,3300,379,5
Bhandara,2013,Sakoli,45,52,13,0
Bhandara,2013,Lakhani,22,27,20,0
Bhandara,2013,Pavani,38,36,15,6
Bhandara,2013,Lakhandur,16,31,11,0
Bhandara,2014,Tumsar,312,1279,108,0
Bhandara,2014,Mohadi,15,20,15,0
Bhandara,2014,Bhandara,1137,3458,399,5
Bhandara,2014,Sakoli,46,53,13,0
Bhandara,2014,Lakhani,24,28,20,0
Bhandara,2014,Pavani,38,37,15,6
Bhandara,2014,Lakhandur,18,31,11,0
Bhandara,2015,Tumsar,314,1321,110,0
Bhandara,2015,Mohadi,22,29,23,0
Bhandara,2015,Bhandara,1168,3263,407,5
Bhandara,2015,Sakoli,49,56,16,0
Bhandara,2015,Lakhani,26,30,26,0
Bhandara,2015,Pavani,41,49,16,6
Bhandara,2015,Lakhandur,25,39,18,0
Bhandara,2016,Tumsar,353,1353,121,5
Bhandara,2016,Mohadi,28,31,24,0
Bhandara,2016,Bhandara,1297,3347,527,5
Bhandara,2016,Sakoli,48,57,19,0
Bhandara,2016,Lakhani,30,32,29,0
Bhandara,2016,Pavani,40,51,19,6
Bhandara,2016,Lakhandur,26,42,21,0
Bhandara,2017,Tumsar,370,1401,131,2
Bhandara,2017,Mohadi,18,22,12,0
Bhandara,2017,Bhandara,3529,6463,970,4
Bhandara,2017,Sakoli,5,5,5,0
Bhandara,2017,Lakhani,3,7,5,0
Bhandara,2017,Pavani,4,7,5,2
Bhandara,2017,Lakhandur,4,5,6,0
Bhandara,2018,Tumsar,676,1974,219,2
Bhandara,2018,Mohadi,19,25,29,0
Bhandara,2018,Bhandara,5207,8124,1787,4
Bhandara,2018,Sakoli,79,80,65,0
Bhandara,2018,Lakhani,83,81,66,0
Bhandara,2018,Pavani,90,36,101,4
Bhandara,2018,Lakhandur,25,17,19,0
Bhandara,2019,Tumsar,702,1984,223,2
Bhandara,2019,Mohadi,34,28,29,0
Bhandara,2019,Bhandara,5237,8135,1796,5
Bhandara,2019,Sakoli,87,97,65,0
Bhandara,2019,Lakhani,85,86,61,0
Bhandara,2019,Pavani,97,37,103,0
Bhandara,2019,Lakhandur,43,27,27,0
Bhandara,2020,Tumsar,671,695,151,2
Bhandara,2020,Mohadi,994,200,95,0
Bhandara,2020,Bhandara,408,3897,208,4
Bhandara,2020,Sakoli,640,410,68,0
Bhandara,2020,Lakhani,855,101,81,0
Bhandara,2020,Pavani,1067,152,102,0
Bhandara,2020,Lakhandur,668,301,137,0
Bhandara,2021,Tumsar,792,951,166,2
Bhandara,2021,Mohadi,1127,436,104,0
Bhandara,2021,Bhandara,2382,5619,447,4
Bhandara,2021,Sakoli,1139,857,167,0
Bhandara,2021,Lakhani,1264,590,171,0
Bhandara,2021,Pavani,1318,407,156,0
Bhandara,2021,Lakhandur,884,399,160,0
Buldhana,2013,Jalgaon Jamod,89,140,283,5
Buldhana,2013,Sangrampur,,,,
Buldhana,2013,Shegaon,293,814,386,10
Buldhana,2013,Nandura,254,285,119,5
Buldhana,2013,Malkapur,230,838,264,28
Buldhana,2013,Motala,,,,
Buldhana,2013,Khamgaon,915,1845,395,32
Buldhana,2013,Mehkar,303,700,155,10
Buldhana,2013,Chikhali,493,696,374,32
Buldhana,2013,Buldhana,574,598,324,16
Buldhana,2013,Deulgaon Raja,323,474,102,9
Buldhana,2013,Sindkhed Raja,,,,
Buldhana,2013,Lonar,,,,
Buldhana,2014,Jalgaon Jamod,71,119,26,
Buldhana,2014,Sangrampur,,,,
Buldhana,2014,Shegaon,458,715,413,11
Buldhana,2014,Nandura,285,256,93,5
Buldhana,2014,Malkapur,547,581,170,24
Buldhana,2014,Motala,,,,
Buldhana,2014,Khamgaon,936,1896,409,18
Buldhana,2014,Mehkar,336,754,157,11
Buldhana,2014,Chikhali,2488,2328,902,9
Buldhana,2014,Buldhana,1624,2138,528,19
Buldhana,2014,Deulgaon Raja,279,504,145,9
Buldhana,2014,Sindkhed Raja,,,,
Buldhana,2014,Lonar,,,,
Buldhana,2015,Jalgaon Jamod,71,119,26,0
Buldhana,2015,Sangrampur,,,,
Buldhana,2015,Shegaon,491,717,410,11
Buldhana,2015,Nandura,281,256,93,5
Buldhana,2015,Malkapur,547,581,170,24
Buldhana,2015,Motala,,,,
Buldhana,2015,Khamgaon,861,1719,390,32
Buldhana,2015,Mehkar,530,329,155,14
Buldhana,2015,Chikhali,473,694,374,9
Buldhana,2015,Buldhana,558,530,324,12
Buldhana,2015,Deulgaon Raja,292,353,112,12
Buldhana,2015,Sindkhed Raja,,,,
Buldhana,2015,Lonar,,,,
Buldhana,2016,Jalgaon Jamod,398,260,25,0
Buldhana,2016,Sangrampur,,,,
Buldhana,2016,Shegaon,276,197,67,10
Buldhana,2016,Nandura,443,607,149,10
Buldhana,2016,Malkapur,947,1654,112,25
Buldhana,2016,Motala,,,,
Buldhana,2016,Khamgaon,,,,
Buldhana,2016,Mehkar,328,176,29,7
Buldhana,2016,Chikhali,,,,
Buldhana,2016,Buldhana,,,,
Buldhana,2016,Deulgaon Raja,,,,
Buldhana,2016,Sindkhed Raja,,,,
Buldhana,2016,Lonar,,,,
Buldhana,2017,Jalgaon Jamod,894,591,86,
Buldhana,2017,Sangrampur,,,,
Buldhana,2017,Shegaon,656,247,147,
Buldhana,2017,Nandura,,,,
Buldhana,2017,Malkapur,,,,
Buldhana,2017,Motala,,,,
Buldhana,2017,Khamgaon,336,662,20,1
Buldhana,2017,Mehkar,373,194,45,7
Buldhana,2017,Chikhali,578,428,196,11
Buldhana,2017,Buldhana,,,,
Buldhana,2017,Deulgaon Raja,222,102,24,4
Buldhana,2017,Sindkhed Raja,,,,
Buldhana,2017,Lonar,,,,
Buldhana,2018,Jalgaon Jamod,246,150,24,0
Buldhana,2018,Sangrampur,201,97,21,4
Buldhana,2018,Shegaon,785,278,154,0
Buldhana,2018,Nandura,246,171,20,0
Buldhana,2018,Malkapur,492,320,43,0
Buldhana,2018,Motala,78,54,45,0
Buldhana,2018,Khamgaon,340,689,22,0
Buldhana,2018,Mehkar,378,205,49,17
Buldhana,2018,Chikhali,313,242,93,0
Buldhana,2018,Buldhana,376,282,108,13
Buldhana,2018,Deulgaon Raja,265,109,32,9
Buldhana,2018,Sindkhed Raja,40,78,19,7
Buldhana,2018,Lonar,102,21,72,2
Buldhana,2019,Jalgaon Jamod,263,158,26,0
Buldhana,2019,Sangrampur,222,112,22,4
Buldhana,2019,Shegaon,800,284,160,0
Buldhana,2019,Nandura,255,173,36,0
Buldhana,2019,Malkapur,504,330,64,0
Buldhana,2019,Motala,88,65,60,0
Buldhana,2019,Khamgaon,365,696,78,0
Buldhana,2019,Mehkar,398,216,58,17
Buldhana,2019,Chikhali,338,252,103,0
Buldhana,2019,Buldhana,400,300,118,13
Buldhana,2019,Deulgaon Raja,278,121,38,9
Buldhana,2019,Sindkhed Raja,50,86,25,7
Buldhana,2019,Lonar,122,26,86,2
Buldhana,2020,Jalgaon Jamod,263,158,26,0
Buldhana,2020,Sangrampur,222,112,22,4
Buldhana,2020,Shegaon,800,284,160,0
Buldhana,2020,Nandura,255,173,36,0
