District,Year,Taluka,Veterinary Hospitals,Veterinary First-Aid Centres,Other Veterinary Facilities,Total Veterinary Facilities
Ahilyanagar,2019,Parner,1,9,0,17
Ahilyanagar,2019,Srigonda,0,12,0,17
Ahilyanagar,2019,Karjat,0,8,0,11
Ahilyanagar,2019,Jamkhed,0,7,0,10
Ahilyanagar,2020,Akole,1,18,0,29
Ahilyanagar,2020,Sangamner,0,15,0,24
Ahilyanagar,2020,Kopargaon,1,7,0,11
Ahilyanagar,2020,Rahata,1,7,0,15
Ahilyanagar,2020,Srirampur,1,6,0,10
Ahilyanagar,2020,Nevasa,0,8,0,14
Ahilyanagar,2020,Shevgaon,0,9,0,14
Ahilyanagar,2020,Pathardi,0,10,0,15
Ahilyanagar,2020,Nagar,1,14,0,20
Ahilyanagar,2020,Rahuri,1,8,0,16
Ahilyanagar,2020,Parner,1,9,0,17
Ahilyanagar,2020,Srigonda,0,12,0,17
Ahilyanagar,2020,Karjat,0,8,0,11
Ahilyanagar,2020,Jamkhed,0,7,0,10
Ahilyanagar,2021,Akole,1,18,0,29
Ahilyanagar,2021,Sangamner,0,15,1,25
Ahilyanagar,2021,Kopargaon,1,7,0,11
Ahilyanagar,2021,Rahata,1,7,0,15
Ahilyanagar,2021,Srirampur,1,6,1,11
Ahilyanagar,2021,Nevasa,0,8,1,15
Ahilyanagar,2021,Shevgaon,0,9,0,14
Ahilyanagar,2021,Pathardi,0,10,0,15
Ahilyanagar,2021,Nagar,1,14,0,20
Ahilyanagar,2021,Rahuri,1,8,0,16
Ahilyanagar,2021,Parner,1,9,1,18
Ahilyanagar,2021,Srigonda,0,12,0,17
Ahilyanagar,2021,Karjat,0,8,1,12
Ahilyanagar,2021,Jamkhed,0,7,0,10
Akola,2012,Telhara,,6,,
Akola,2012,Akot,1,11,,
Akola,2012,Balapur,1,10,,
Akola,2012,Akola,1,21,,
Akola,2012,Murtijapur,1,9,,
Akola,2012,Patur,1,8,,
Akola,2012,Barshitakali,1,9,,
Akola,2013,Telhara,,6,,
Akola,2013,Akot,1,11,,
Akola,2013,Balapur,1,10,,
Akola,2013,Akola,1,21,,
Akola,2013,Murtijapur,1,9,,
Akola,2013,Patur,1,8,,
Akola,2013,Barshitakali,1,9,,
Akola,2014,Telhara,,2,,
Akola,2014,Akot,1,7,,
Akola,2014,Balapur,1,6,,
Akola,2014,Akola,1,18,,
Akola,2014,Murtijapur,1,6,,
Akola,2014,Patur,1,6,,
Akola,2014,Barshitakali,1,3,,
Akola,2015,Telhara,,2,,
Akola,2015,Akot,1,7,,
Akola,2015,Balapur,1,6,,
Akola,2015,Akola,1,18,,
Akola,2015,Murtijapur,1,6,,
Akola,2015,Patur,1,6,,
Akola,2015,Barshitakali,1,3,,
Akola,2016,Telhara,,2,,
Akola,2016,Akot,1,7,,
Akola,2016,Balapur,1,6,,
Akola,2016,Akola,1,18,,
Akola,2016,Murtijapur,1,6,,
Akola,2016,Patur,1,6,,
Akola,2016,Barshitakali,1,3,,
Akola,2017,Telhara,,2,,
Akola,2017,Akot,1,7,,
Akola,2017,Balapur,1,6,,
Akola,2017,Akola,1,18,,
Akola,2017,Murtijapur,1,6,,
Akola,2017,Patur,1,6,,
Akola,2017,Barshitakali,1,3,,
Akola,2018,Telhara,0,2,0,6
Akola,2018,Akot,1,7,0,11
Akola,2018,Balapur,1,6,0,10
Akola,2018,Akola,1,8,2,23
Akola,2018,Murtijapur,1,6,0,9
Akola,2018,Patur,1,6,0,8
Akola,2018,Barshitakali,1,5,0,9
Akola,2019,Telhara,0,2,0,6
Akola,2019,Akot,1,7,0,11
Akola,2019,Balapur,1,6,0,10
Akola,2019,Akola,1,8,2,23
Akola,2019,Murtijapur,1,6,0,9
Akola,2019,Patur,1,6,0,8
Akola,2019,Barshitakali,1,5,0,9
Akola,2020,Telhara,0,2,0,6
Akola,2020,Akot,1,7,0,11
Akola,2020,Balapur,1,6,0,10
Akola,2020,Akola,1,8,2,23
Akola,2020,Murtijapur,1,6,0,9
Akola,2020,Patur,1,6,0,8
Akola,2020,Barshitakali,1,5,0,9
Akola,2021,Telhara,0,0,0,6
Akola,2021,Akot,1,0,0,12
Akola,2021,Balapur,1,0,0,10
Akola,2021,Akola,1,0,1,22
Akola,2021,Murtijapur,1,0,0,9
Akola,2021,Patur,1,0,0,8
Akola,2021,Barshitakali,1,0,0,9
Amravati,2019,Dharani,0,6,2,17
Amravati,2006,Dharani,,3,1,
Amravati,2006,Chikhraldara,,3,1,
Amravati,2006,Anjangaon Su,1,4,,
Amravati,2006,Achalpur,1,4,,
Amravati,2006,Chandurbazar,,6,,
Amravati,2006,Morshi,1,2,,
Amravati,2006,Warud,1,7,,
Amravati,2006,Tivas,,4,,
Amravati,2006,Amravati,1,4,,
Amravati,2006,Bhatkuli,,2,,
Amravati,2006,Daryapur,1,7,,
Amravati,2006,Nandgaon Kh,,6,,
Amravati,2006,Chandur Railway,1,4,,
Amravati,2006,Dhamangaon Re,,3,,
Amravati,2008,Dharani,,3,1,
Amravati,2008,Chikhraldara,,3,1,
Amravati,2008,Anjangaon Su,1,4,,
Amravati,2008,Achalpur,1,4,,
Amravati,2008,Chandurbazar,,6,,
Amravati,2008,Morshi,1,2,,
Amravati,2008,Warud,1,7,,
Amravati,2008,Tivas,,4,,
Amravati,2008,Amravati,1,4,,
Amravati,2008,Bhatkuli,,2,,
Amravati,2008,Daryapur,1,7,,
Amravati,2008,Nandgaon Kh,,6,,
Amravati,2008,Chandur Railway,1,4,,
Amravati,2008,Dhamangaon Re,,3,,
Amravati,2009,Dharani,,3,,
Amravati,2009,Chikhraldara,,3,,
Amravati,2009,Anjangaon Su,1,4,,
Amravati,2009,Achalpur,1,4,,
Amravati,2009,Chandurbazar,,6,,
Amravati,2009,Morshi,1,2,,
Amravati,2009,Warud,1,7,,
Amravati,2009,Tivas,,4,,
Amravati,2009,Amravati,1,4,,
Amravati,2009,Bhatkuli,,2,,
Amravati,2009,Daryapur,1,7,,
Amravati,2009,Nandgaon Kh,,6,,
Amravati,2009,Chandur Railway,1,4,,
Amravati,2009,Dhamangaon Re,,3,,
Amravati,2010,Dharani,,3,,
Amravati,2010,Chikhraldara,,3,,
Amravati,2010,Anjangaon Su,1,4,,
Amravati,2010,Achalpur,1,4,,
Amravati,2010,Chandurbazar,,6,,
Amravati,2010,Morshi,1,2,,
Amravati,2010,Warud,1,7,,
Amravati,2010,Tivas,,4,,
Amravati,2010,Amravati,1,4,,
Amravati,2010,Bhatkuli,,2,,
Amravati,2010,Daryapur,1,7,,
Amravati,2010,Nandgaon Kh,,6,,
Amravati,2010,Chandur Railway,1,4,,
Amravati,2010,Dhamangaon Re,,3,,
Amravati,2011,Dharani,,3,,
Amravati,2011,Chikhraldara,,3,,
Amravati,2011,Anjangaon Su,1,4,,
Amravati,2011,Achalpur,1,4,,
Amravati,2011,Chandurbazar,,6,,
Amravati,2011,Morshi,1,2,,
Amravati,2011,Warud,1,7,,
Amravati,2011,Tivas,,4,,
Amravati,2011,Amravati,1,4,,
Amravati,2011,Bhatkuli,,2,,
Amravati,2011,Daryapur,1,7,,
Amravati,2011,Nandgaon Kh,,6,,
Amravati,2011,Chandur Railway,1,4,,
Amravati,2011,Dhamangaon Re,,3,,
Amravati,2012,Dharani,0,8,,
Amravati,2012,Chikhraldara,0,8,,
Amravati,2012,Anjangaon Su,1,6,,
Amravati,2012,Achalpur,1,4,,
Amravati,2012,Chandurbazar,0,6,,
Amravati,2012,Morshi,1,8,,
Amravati,2012,Warud,1,11,,
Amravati,2012,Tivas,0,4,,
Amravati,2012,Amravati,1,5,,
Amravati,2012,Bhatkuli,0,2,,
Amravati,2012,Daryapur,1,14,,
Amravati,2012,Nandgaon Kh,0,6,,
Amravati,2012,Chandur Railway,1,5,,
Amravati,2012,Dhamangaon Re,0,4,,
Amravati,2013,Dharani,0,8,,
Amravati,2013,Chikhraldara,0,8,,
Amravati,2013,Anjangaon Su,1,6,,
Amravati,2013,Achalpur,1,4,,
Amravati,2013,Chandurbazar,0,6,,
Amravati,2013,Morshi,1,8,,
Amravati,2013,Warud,1,11,,
Amravati,2013,Tivas,0,4,,
Amravati,2013,Amravati,1,5,,
Amravati,2013,Bhatkuli,0,2,,
Amravati,2013,Daryapur,1,14,,
Amravati,2013,Nandgaon Kh,0,6,,
Amravati,2013,Chandur Railway,1,5,,
Amravati,2013,Dhamangaon Re,0,4,,
Amravati,2014,Dharani,0,8,,
Amravati,2014,Chikhraldara,0,8,,
Amravati,2014,Anjangaon Su,1,6,,
Amravati,2014,Achalpur,1,4,,
Amravati,2014,Chandurbazar,0,6,,
Amravati,2014,Morshi,1,8,,
Amravati,2014,Warud,1,11,,
Amravati,2014,Tivas,0,4,,
Amravati,2014,Amravati,1,5,,
Amravati,2014,Bhatkuli,0,2,,
Amravati,2014,Daryapur,1,14,,
Amravati,2014,Nandgaon Kh,0,6,,
Amravati,2014,Chandur Railway,1,5,,
Amravati,2014,Dhamangaon Re,0,4,,
Amravati,2014,Dharani,0,7,,
Amravati,2015,Dharani,0,7,,
Amravati,2015,Chikhraldara,0,9,,
Amravati,2015,Anjangaon Su,1,6,,
Amravati,2015,Achalpur,1,4,,
Amravati,2015,Chandurbazar,0,6,,
Amravati,2015,Morshi,1,8,,
Amravati,2015,Warud,1,11,,
Amravati,2015,Tivas,0,4,,
Amravati,2015,Amravati,1,5,,
Amravati,2015,Bhatkuli,0,2,,
Amravati,2015,Daryapur,1,14,,
Amravati,2015,Nandgaon Kh,0,6,,
Amravati,2015,Chandur Railway,1,5,,
Amravati,2015,Dhamangaon Re,0,4,,
Amravati,2016,Dharani,0,7,,
Amravati,2016,Chikhraldara,0,9,,
Amravati,2016,Anjangaon Su,1,6,,
Amravati,2016,Achalpur,1,4,,
Amravati,2016,Chandurbazar,0,6,,
Amravati,2016,Morshi,1,8,,
Amravati,2016,Warud,1,11,,
Amravati,2016,Tivas,0,4,,
Amravati,2016,Amravati,1,5,,
Amravati,2016,Bhatkuli,0,2,,
Amravati,2016,Daryapur,1,14,,
Amravati,2016,Nandgaon Kh,0,6,,
Amravati,2016,Chandur Railway,1,5,,
Amravati,2016,Dhamangaon Re,0,4,,
Amravati,2017,Dharani,0,7,,
Amravati,2017,Chikhraldara,0,9,,
Amravati,2017,Anjangaon Su,1,6,,
Amravati,2017,Achalpur,1,4,,
Amravati,2017,Chandurbazar,0,6,,
Amravati,2017,Morshi,1,8,,
Amravati,2017,Warud,1,11,,
Amravati,2017,Tivas,0,4,,
Amravati,2017,Amravati,1,5,,
Amravati,2017,Bhatkuli,0,2,,
Amravati,2017,Daryapur,1,14,,
Amravati,2017,Nandgaon Kh,0,6,,
Amravati,2017,Chandur Railway,1,5,,
Amravati,2017,Dhamangaon Re,0,4,,
Amravati,2018,Dharani,0,6,2,17
Amravati,2018,Chikhraldara,0,8,1,18
Amravati,2018,Anjangaon Su,1,6,0,11
Amravati,2018,Achalpur,1,4,1,14
Amravati,2018,Chandurbazar,0,6,0,13
Amravati,2018,Morshi,1,8,0,11
Amravati,2018,Warud,1,11,1,14
Amravati,2018,Tivas,0,4,0,9
Amravati,2018,Amravati,1,5,0,13
Amravati,2018,Bhatkuli,0,2,0,8
Amravati,2018,Daryapur,1,14,0,17
Amravati,2018,Nandgaon Kh,0,6,0,10
Amravati,2018,Chandur Railway,1,5,0,8
Amravati,2018,Dhamangaon Re,0,4,0,8
Amravati,2019,Dharani,0,6,2,17
Amravati,2019,Chikhraldara,0,8,1,18
Amravati,2019,Anjangaon Su,1,6,0,11
Amravati,2019,Achalpur,1,4,1,14
Amravati,2019,Chandurbazar,0,6,0,13
Amravati,2019,Morshi,1,8,0,11
Amravati,2019,Warud,1,11,1,14
Amravati,2019,Tivas,0,4,0,9
Amravati,2019,Amravati,1,5,0,13
Amravati,2019,Bhatkuli,0,2,0,8
Amravati,2019,Daryapur,1,14,0,17
Amravati,2019,Nandgaon Kh,0,6,0,10
Amravati,2019,Chandur Railway,1,5,0,8
Amravati,2019,Dhamangaon Re,0,4,0,8
Amravati,2020,Dharani,0,7,2,18
Amravati,2020,Chikhraldara,0,9,1,19
Amravati,2020,Anjangaon Su,1,6,0,11
Amravati,2020,Achalpur,1,4,1,14
Amravati,2020,Chandurbazar,0,6,0,13
Amravati,2020,Morshi,1,8,0,11
Amravati,2020,Warud,1,11,1,14
Amravati,2020,Tivas,0,4,0,9
Amravati,2020,Amravati,1,5,0,13
Amravati,2020,Bhatkuli,0,2,0,8
Amravati,2020,Daryapur,1,14,0,17
Amravati,2020,Nandgaon Kh,0,6,0,10
Amravati,2020,Chandur Railway,1,5,0,8
Amravati,2020,Dhamangaon Re,0,4,0,8
Amravati,2021,Dharani,0,7,2,18
Amravati,2021,Chikhraldara,0,7,1,17
Amravati,2021,Anjangaon Su,1,6,1,12
Amravati,2021,Achalpur,1,4,2,15
Amravati,2021,Chandurbazar,1,6,0,13
Amravati,2021,Morshi,1,8,0,11
Amravati,2021,Warud,1,11,1,14
Amravati,2021,Tivas,0,4,1,10
Amravati,2021,Amravati,1,5,1,14
Amravati,2021,Bhatkuli,0,2,0,8
Amravati,2021,Daryapur,1,14,0,17
Amravati,2021,Nandgaon Kh,0,6,0,10
Amravati,2021,Chandur Railway,1,5,0,8
Amravati,2021,Dhamangaon Re,0,4,0,8
Beed,2013,Ashti,1,7,,
Beed,2013,Patoda,0,7,,
Beed,2013,Shirur Kasar,0,5,,
Beed,2013,Gevrai,1,18,,
Beed,2013,Majalgaon,0,6,,
Beed,2013,Wadwani,0,5,,
Beed,2013,Beed,1,16,,
Beed,2013,Cage,1,9,,
Beed,2013,Dharur,0,3,,
Beed,2013,Parli,1,6,,
Beed,2013,Ambajogai,1,16,,
Beed,2014,Ashti,1,7,,
Beed,2014,Patoda,0,7,,
Beed,2014,Shirur Kasar,0,5,,
Beed,2014,Gevrai,1,18,,
Beed,2014,Majalgaon,0,6,,
Beed,2014,Wadwani,0,5,,
Beed,2014,Beed,1,16,,
Beed,2014,Cage,1,9,,
Beed,2014,Dharur,0,3,,
Beed,2014,Parli,1,6,,
Beed,2014,Ambajogai,1,16,,
Beed,2015,Ashti,1,7,,
Beed,2015,Patoda,0,7,,
Beed,2015,Shirur Kasar,0,5,,
Beed,2015,Gevrai,1,18,,
Beed,2015,Majalgaon,0,6,,
Beed,2015,Wadwani,0,5,,
Beed,2015,Beed,1,16,,
Beed,2015,Cage,1,9,,
Beed,2015,Dharur,0,3,,
Beed,2015,Parli,1,6,,
Beed,2015,Ambajogai,1,16,,
Beed,2016,Ashti,1,7,,
Beed,2016,Patoda,0,7,,
Beed,2016,Shirur Kasar,0,5,,
Beed,2016,Gevrai,1,18,,
Beed,2016,Majalgaon,0,6,,
Beed,2016,Wadwani,0,5,,
Beed,2016,Beed,1,16,,
Beed,2016,Cage,1,9,,
Beed,2016,Dharur,0,3,,
Beed,2016,Parli,1,6,,
Beed,2016,Ambajogai,1,16,,
Beed,2017,Ashti,1,7,,
Beed,2017,Patoda,0,7,,
Beed,2017,Shirur Kasar,0,5,,
Beed,2017,Gevrai,1,18,,
Beed,2017,Majalgaon,0,6,,
Beed,2017,Wadwani,0,5,,
Beed,2017,Beed,1,16,,
Beed,2017,Cage,1,9,,
Beed,2017,Dharur,0,3,,
Beed,2017,Parli,1,6,,
Beed,2017,Ambajogai,1,16,,
Beed,2018,Ashti,1,7,0,22
Beed,2018,Patoda,0,7,0,12
Beed,2018,Shirur Kasar,0,5,0,8
Beed,2018,Gevrai,1,18,0,25
Beed,2018,Majalgaon,0,6,0,10
Beed,2018,Wadwani,0,5,0,6
Beed,2018,Beed,1,16,0,22
Beed,2018,Cage,1,9,0,18
Beed,2018,Dharur,0,3,1,6
Beed,2018,Parli,1,6,0,12
Beed,2018,Ambajogai,1,16,0,21
Beed,2019,Ashti,1,7,0,22
Beed,2019,Patoda,0,7,0,12
Beed,2019,Shirur Kasar,0,5,0,8
Beed,2019,Gevrai,1,18,0,25
Beed,2019,Majalgaon,0,6,0,10
Beed,2019,Wadwani,0,5,0,6
Beed,2019,Beed,1,16,0,22
Beed,2019,Cage,1,9,0,18
Beed,2019,Dharur,0,3,1,6
Beed,2019,Parli,1,6,0,12
Beed,2019,Ambajogai,1,16,0,21
Beed,2020,Ashti,1,7,0,22
Beed,2020,Patoda,0,7,0,12
Beed,2020,Shirur Kasar,0,5,0,8
Beed,2020,Gevrai,1,18,0,25
Beed,2020,Majalgaon,0,6,0,10
Beed,2020,Wadwani,0,5,0,6
Beed,2020,Beed,1,16,0,22
Beed,2020,Cage,1,9,0,18
Beed,2020,Dharur,0,3,1,6
Beed,2020,Parli,1,6,0,12
Beed,2020,Ambajogai,1,16,0,21
Beed,2021,Ashti,1,7,0,22
Beed,2021,Patoda,0,7,0,12
Beed,2021,Shirur Kasar,0,5,0,8
Beed,2021,Gevrai,1,18,0,25
Beed,2021,Majalgaon,0,6,0,10
Beed,2021,Wadwani,0,5,1,7
Beed,2021,Beed,1,16,0,22
Beed,2021,Cage,1,9,0,18
Beed,2021,Dharur,0,3,1,6
Beed,2021,Parli,1,6,0,12
Beed,2021,Ambajogai,1,16,0,21
Bhandara,2012,Tumsar,1,8,,
Bhandara,2012,Mohadi,1,9,,
Bhandara,2012,Bhandara,1,10,,
Bhandara,2012,Sakoli,1,4,,
Bhandara,2012,Lakhani,0,4,,
Bhandara,2012,Pavani,1,6,,
Bhandara,2012,Lakhandur,1,7,,
Bhandara,2013,Tumsar,1,8,,
Bhandara,2013,Mohadi,1,9,,
Bhandara,2013,Bhandara,1,10,,
Bhandara,2013,Sakoli,1,4,,
Bhandara,2013,Lakhani,0,4,,
Bhandara,2013,Pavani,1,6,,
Bhandara,2013,Lakhandur,1,7,,
Bhandara,2014,Tumsar,1,8,,
Bhandara,2014,Mohadi,1,9,,
Bhandara,2014,Bhandara,1,10,,
Bhandara,2014,Sakoli,1,4,,
Bhandara,2014,Lakhani,0,4,,
Bhandara,2014,Pavani,1,6,,
Bhandara,2014,Lakhandur,1,7,,
Bhandara,2015,Tumsar,1,8,,
Bhandara,2015,Mohadi,1,9,,
Bhandara,2015,Bhandara,1,10,,
Bhandara,2015,Sakoli,1,4,,
Bhandara,2015,Lakhani,0,4,,
Bhandara,2015,Pavani,1,6,,
Bhandara,2015,Lakhandur,1,7,,
Bhandara,2016,Tumsar,1,8,,
Bhandara,2016,Mohadi,1,9,,
Bhandara,2016,Bhandara,1,10,,
Bhandara,2016,Sakoli,1,4,,
Bhandara,2016,Lakhani,0,4,,
Bhandara,2016,Pavani,1,6,,
Bhandara,2016,Lakhandur,1,7,,
Bhandara,2017,Tumsar,1,8,,
Bhandara,2017,Mohadi,1,9,,
Bhandara,2017,Bhandara,1,10,,
Bhandara,2017,Sakoli,1,4,,
Bhandara,2017,Lakhani,0,4,,
Bhandara,2017,Pavani,1,6,,
Bhandara,2017,Lakhandur,1,7,,
Bhandara,2018,Tumsar,1,8,0,14
Bhandara,2018,Mohadi,1,9,0,14
Bhandara,2018,Bhandara,1,10,1,16
Bhandara,2018,Sakoli,1,4,1,12
Bhandara,2018,Lakhani,0,4,0,9
Bhandara,2018,Pavani,1,6,0,11
Bhandara,2018,Lakhandur,1,7,1,12
Bhandara,2019,Tumsar,1,8,0,14
Bhandara,2019,Mohadi,1,9,0,14
Bhandara,2019,Bhandara,1,10,1,16
Bhandara,2019,Sakoli,1,4,1,12
Bhandara,2019,Lakhani,0,4,0,9
Bhandara,2019,Pavani,1,6,0,11
Bhandara,2019,Lakhandur,1,7,1,12
Bhandara,2020,Tumsar,1,8,0,14
Bhandara,2020,Mohadi,1,9,1,15
Bhandara,2020,Bhandara,1,10,1,16
Bhandara,2020,Sakoli,1,4,2,13
Bhandara,2020,Lakhani,0,4,0,9
Bhandara,2020,Pavani,1,6,1,12
Bhandara,2020,Lakhandur,1,7,1,12
Bhandara,2021,Tumsar,1,8,0,14
Bhandara,2021,Mohadi,1,9,1,15
Bhandara,2021,Bhandara,1,10,1,16
Bhandara,2021,Sakoli,1,4,2,13
Bhandara,2021,Lakhani,0,4,0,9
Bhandara,2021,Pavani,1,6,1,12
Bhandara,2021,Lakhandur,1,7,1,11
Buldhana,2013,Jalgaon Jamod,1,0,,
Buldhana,2013,Sangrampur,0,0,,
Buldhana,2013,Shegaon,1,0,,
Buldhana,2013,Nandura,0,0,,
Buldhana,2013,Malkapur,1,0,,
Buldhana,2013,Motala,0,0,,
Buldhana,2013,Khamgaon,1,0,,
Buldhana,2013,Mehkar,1,0,,
Buldhana,2013,Chikhali,1,0,,
Buldhana,2013,Buldana,1,0,,
Buldhana,2013,Deulgaon Raja,0,0,,
Buldhana,2013,Sindkhed Raja,0,0,,
Buldhana,2013,Lonar,0,0,,
Buldhana,2014,Jalgaon Jamod,1,,,
Buldhana,2014,Sangrampur,0,,,
Buldhana,2014,Shegaon,1,,,
Buldhana,2014,Nandura,0,,,
Buldhana,2014,Malkapur,1,,,
Buldhana,2014,Motala,0,,,
Buldhana,2014,Khamgaon,1,,,
Buldhana,2014,Mehkar,1,,,
Buldhana,2014,Chikhali,1,,,
Buldhana,2014,Buldana,1,,,
Buldhana,2014,Deulgaon Raja,0,,,
Buldhana,2014,Sindkhed Raja,0,,,
Buldhana,2014,Lonar,0,,,
Buldhana,2015,Jalgaon Jamod,1,4,,
Buldhana,2015,Sangrampur,0,4,,
Buldhana,2015,Shegaon,1,3,,
Buldhana,2015,Nandura,0,4,,
Buldhana,2015,Malkapur,1,6,,
Buldhana,2015,Motala,0,6,,
Buldhana,2015,Khamgaon,1,8,,
Buldhana,2015,Mehkar,1,17,,
Buldhana,2015,Chikhali,1,12,,
Buldhana,2015,Buldana,1,10,,
Buldhana,2015,Deulgaon Raja,0,1,,
Buldhana,2015,Sindkhed Raja,0,5,,
