District,Year,Taluka,Length of Rivers,"Number of Lakes, Ponds or Reservoirs Suitable for Fishing",Area Suitable for Fishing,Area Used for Commercial Fisheries,Groundwater Fish Production,Price Received by Producers for Fish Caught,Fish Seeds Used,Fish Business Cooperatives,Members in Fish Business Cooperatives
Ahilyanagar,2020,Nevasa,62.0,0.0,0.0,0.0,18.0,30000.0,100000.0,1.0,75.0
Ahilyanagar,2020,Shevgaon,32.0,0.0,0.0,0.0,12.0,360000.0,100000.0,1.0,72.0
Ahilyanagar,2020,Pathardi,52.0,7.0,373.0,343.0,220.0,6600000.0,700000.0,5.0,178.0
Ahilyanagar,2020,Nagar,28.0,10.0,568.0,346.0,230.0,6900000.0,800000.0,5.0,173.0
Ahilyanagar,2020,Rahuri,48.0,3.0,3584.0,3563.0,510.0,15300000.0,1600000.0,4.0,822.0
Ahilyanagar,2020,Parner,50.0,11.0,497.0,400.0,282.0,8460000.0,1000000.0,4.0,220.0
Ahilyanagar,2020,Srigonda,58.0,8.0,3074.0,3000.0,228.0,6840000.000000001,1400000.0,7.0,480.0
Ahilyanagar,2020,Karjat,48.0,9.0,1440.0,1404.0,385.0,11550000.0,900000.0,6.0,300.0
Ahilyanagar,2020,Jamkhed,0.0,11.0,466.0,400.0,200.0,6000000.0,900000.0,7.0,360.0
Ahilyanagar,2021,Akole,55.0,11.0,390.0,284.0,216.0,6480000.0,950000.0,3.0,193.0
Ahilyanagar,2021,Sangamner,58.0,8.0,149.0,116.0,136.0,4079999.9999999995,250000.0,1.0,26.0
Ahilyanagar,2021,Kopargaon,24.0,0.0,0.0,0.0,15.0,450000.0,0.0,1.0,25.0
Ahilyanagar,2021,Rahata,8.0,0.0,0.0,0.0,12.0,360000.0,0.0,0.0,0.0
Ahilyanagar,2021,Srirampur,64.0,2.0,124.0,98.0,138.0,4140000.0,300000.0,1.0,30.0
Ahilyanagar,2021,Nevasa,62.0,0.0,0.0,0.0,21.0,630000.0,0.0,1.0,75.0
Ahilyanagar,2021,Shevgaon,32.0,0.0,0.0,0.0,12.0,360000.0,0.0,1.0,72.0
Ahilyanagar,2021,Pathardi,52.0,7.0,373.0,343.0,124.0,3720000.0000000005,1070000.0,4.0,153.0
Ahilyanagar,2021,Nagar,28.0,10.0,568.0,346.0,164.0,4920000.0,1200000.0,5.0,175.0
Ahilyanagar,2021,Rahuri,48.0,3.0,3584.0,3563.0,438.0,13140000.0,200000.0,3.0,822.0
Ahilyanagar,2021,Parner,50.0,11.0,497.0,297.0,118.0,3540000.0,620000.0,4.0,220.0
Ahilyanagar,2021,Srigonda,58.0,8.0,3074.0,3000.0,385.0,11550000.0,1000000.0,8.0,510.0
Ahilyanagar,2021,Karjat,48.0,9.0,1440.0,1404.0,235.0,7050000.0,620000.0,8.0,364.0
Ahilyanagar,2021,Jamkhed,0.0,11.0,466.0,466.0,202.0,6060000.0,1032000.0,6.0,335.0
Akola,2012,Telhara,55.0,6.0,535.0,440.0,16.96,339000.0,944999.9999999999,3.0,150.0
Akola,2012,Akot,70.0,30.0,213.0,210.0,327.72,6554000.000000001,1925000.0,4.0,250.0
Akola,2012,Balapur,9.0,8.0,39.0,34.0,17.9,358000.0,105000.0,1.0,45.0
Akola,2012,Akola,75.0,71.0,457.0,450.0,209.76,4195000.0,1230000.0,5.0,205.0
Akola,2012,Murtijapur,55.0,11.0,395.0,343.0,180.8,3615999.9999999995,931000.0,5.0,170.0
Akola,2012,Patur,75.0,32.0,951.0,868.0,435.16,8702000.0,2565000.0,3.0,154.0
Akola,2012,Barshitakali,65.0,63.0,1685.0,1669.0,771.6,15434000.0,4200000.0,14.0,510.0
Akola,2013,Telhara,55.0,6.0,535.0,440.0,212.0,2120000.0,1905999.9999999998,6.0,135.0
Akola,2013,Akot,70.0,30.0,213.0,210.0,105.0,1050000.0,924000.0,9.0,259.0
Akola,2013,Balapur,9.0,8.0,39.0,34.0,16.0,160000.0,140000.0,3.0,43.0
Akola,2013,Akola,75.0,72.0,599.0,450.0,230.0,2300000.0,1930000.0,9.0,464.0
Akola,2013,Murtijapur,55.0,11.0,395.0,343.0,175.0,1750000.0,1500000.0,7.0,147.0
Akola,2013,Patur,75.0,32.0,951.0,869.0,416.0,4160000.0,2000000.0,9.0,397.0
Akola,2013,Barshitakali,65.0,63.0,1685.0,1670.0,806.0,8059999.999999999,1800000.0,10.0,595.0
Akola,2014,Telhara,55.0,6.0,535.0,440.0,100.0,1000000.0,1000000.0,4.0,135.0
Akola,2014,Akot,70.0,30.0,213.0,210.0,202.0,2020000.0,950000.0,9.0,259.0
Akola,2014,Balapur,9.0,8.0,39.0,34.0,28.0,280000.0,280000.0,3.0,45.0
Akola,2014,Akola,75.0,72.0,559.0,450.0,250.0,2500000.0,2000000.0,10.0,464.0
Akola,2014,Murtijapur,55.0,11.0,395.0,343.0,200.0,2000000.0,1720000.0,8.0,147.0
Akola,2014,Patur,75.0,32.0,951.0,869.0,510.0,5100000.0,2350000.0,9.0,397.0
Akola,2014,Barshitakali,65.0,63.0,1685.0,1670.0,660.0,6600000.0,3100000.0,15.0,595.0
Akola,2015,Telhara,55.0,6.0,535.0,440.0,100.0,1000000.0,1000000.0,4.0,135.0
Akola,2015,Akot,70.0,30.0,213.0,210.0,202.0,2020000.0,950000.0,9.0,259.0
Akola,2015,Balapur,9.0,8.0,39.0,34.0,28.0,280000.0,280000.0,3.0,45.0
Akola,2015,Akola,75.0,72.0,661.0,552.0,322.0,3220000.0000000005,2240000.0,11.0,495.0
Akola,2015,Murtijapur,55.0,11.0,395.0,343.0,200.0,2000000.0,1720000.0,8.0,147.0
Akola,2015,Patur,75.0,32.0,951.0,869.0,510.0,5100000.0,2350000.0,9.0,397.0
Akola,2015,Barshitakali,65.0,63.0,1685.0,1670.0,660.0,6600000.0,3100000.0,15.0,595.0
Akola,2016,Telhara,55.0,6.0,535.0,440.0,100.0,1000000.0,1200000.0,4.0,135.0
Akola,2016,Akot,70.0,30.0,213.0,210.0,202.0,2020000.0,1000000.0,9.0,259.0
Akola,2016,Balapur,9.0,8.0,39.0,34.0,28.0,280000.0,300000.0,3.0,45.0
Akola,2016,Akola,75.0,71.0,559.0,450.0,250.0,2500000.0,2000000.0,11.0,464.0
Akola,2016,Murtijapur,55.0,11.0,395.0,343.0,200.0,2000000.0,1800000.0,8.0,147.0
Akola,2016,Patur,75.0,32.0,951.0,869.0,510.0,5100000.0,2400000.0,9.0,397.0
Akola,2016,Barshitakali,65.0,63.0,1685.0,1670.0,660.0,6600000.0,3100000.0,15.0,595.0
Akola,2017,Telhara,55.0,6.0,535.0,440.0,90.0,900000.0,1000000.0,3.0,135.0
Akola,2017,Akot,70.0,30.0,213.0,210.0,200.0,2000000.0,1200000.0,5.0,259.0
Akola,2017,Balapur,9.0,8.0,39.0,34.0,60.0,600000.0,800000.0,1.0,45.0
Akola,2017,Akola,75.0,71.0,559.0,450.0,220.0,2200000.0,2000000.0,11.0,675.0
Akola,2017,Murtijapur,55.0,11.0,395.0,343.0,205.0,2000000.0,1800000.0,8.0,215.0
Akola,2017,Patur,75.0,32.0,951.0,869.0,520.0,5200000.0,2500000.0,9.0,465.0
Akola,2017,Barshitakali,65.0,63.0,1685.0,1670.0,590.0,5900000.0,2700000.0,21.0,682.0
Akola,2018,Telhara,55.0,6.0,535.0,440.0,129.0,900000.0,1000000.0,3.0,135.0
Akola,2018,Akot,70.0,30.0,213.0,210.0,250.0,2000000.0,1200000.0,5.0,259.0
Akola,2018,Balapur,9.0,8.0,39.0,34.0,80.0,600000.0,800000.0,1.0,45.0
Akola,2018,Akola,75.0,71.0,559.0,450.0,250.0,2200000.0,2000000.0,11.0,675.0
Akola,2018,Murtijapur,55.0,11.0,395.0,343.0,265.0,2000000.0,1800000.0,8.0,215.0
Akola,2018,Patur,75.0,32.0,951.0,869.0,560.0,5200000.0,2500000.0,9.0,465.0
Akola,2018,Barshitakali,65.0,63.0,1685.0,1670.0,650.0,5900000.0,2700000.0,21.0,682.0
Akola,2019,Telhara,55.0,6.0,535.0,440.0,90.0,1800000.0,1000000.0,3.0,135.0
Akola,2019,Akot,70.0,32.0,446.0,437.0,3360.0,6736000.0,1566000.0,6.0,294.0
Akola,2019,Balapur,9.0,8.0,39.0,34.0,60.0,1200000.0,800000.0,1.0,45.0
Akola,2019,Akola,75.0,71.0,559.0,450.0,220.0,4400000.0,2000000.0,11.0,675.0
Akola,2019,Murtijapur,55.0,12.0,554.0,502.0,2887.0,5774000.0,2079000.0,9.0,245.0
Akola,2019,Patur,75.0,32.0,951.0,869.0,520.0,10400000.0,2500000.0,9.0,465.0
Akola,2019,Barshitakali,65.0,63.0,1685.0,1670.0,590.0,11800000.0,2700000.0,21.0,682.0
Akola,2020,Telhara,55.0,6.0,535.0,440.0,175.0,4950000.0,1500000.0,3.0,135.0
Akola,2020,Akot,70.0,32.0,446.0,437.0,505.0,15150000.0,1400000.0,6.0,359.0
Akola,2020,Balapur,9.0,8.0,39.0,34.0,270.0,8100000.0,900000.0,1.0,75.0
Akola,2020,Akola,75.0,71.0,559.0,450.0,415.0,12450000.0,1000000.0,11.0,675.0
Akola,2020,Murtijapur,55.0,12.0,554.0,502.0,170.0,5100000.0,1100000.0,9.0,245.0
Akola,2020,Patur,75.0,32.0,951.0,869.0,240.0,7200000.0,1900000.0,9.0,465.0
Akola,2020,Barshitakali,65.0,63.0,1685.0,1670.0,510.0,15300000.0,2200000.0,21.0,682.0
Akola,2021,Telhara,55.0,6.0,535.0,440.0,175.0,4950000.0,1500000.0,3.0,95.0
Akola,2021,Akot,70.0,32.0,446.0,437.0,505.0,15150000.0,1400000.0,5.0,150.0
Akola,2021,Balapur,9.0,9.0,204.0,118.0,270.0,8100000.0,1200000.0,2.0,65.0
Akola,2021,Akola,75.0,71.0,559.0,450.0,415.0,12450000.0,2500000.0,10.0,550.0
Akola,2021,Murtijapur,55.0,12.0,554.0,502.0,176.0,5280000.0,2200000.0,9.0,324.0
Akola,2021,Patur,75.0,32.0,951.0,869.0,290.0,8700000.0,3500000.0,9.0,410.0
Akola,2021,Barshitakali,65.0,63.0,1685.0,1670.0,560.0,16800000.0,5200000.0,20.0,600.0
Amravati,2012,Dharani,100.0,98.0,868.0,860.0,300.0,6000000.0,500000.0,14.0,538.0
Amravati,2012,Chikhraldara,29.0,167.0,310.0,300.0,175.0,3500000.0,400000.0,2.0,67.0
Amravati,2012,Anjangaon Su,85.0,13.0,215.0,200.0,220.0,3700000.0,600000.0,2.0,430.0
Amravati,2012,Achalpur,89.0,60.0,505.0,500.0,190.0,4400000.0,700000.0,5.0,532.0
Amravati,2012,Chandurbazar,42.0,30.0,242.0,242.0,115.0,2500000.0,400000.0,5.0,214.0
Amravati,2012,Morshi,95.0,23.0,5800.0,5738.0,675.0,13500000.0,4000000.0,7.0,329.0
Amravati,2012,Warud,82.0,33.0,724.0,600.0,400.0,8000000.0,1600000.0,16.0,984.0
Amravati,2012,Tivas,103.0,39.0,340.0,340.0,175.0,3500000.0,600000.0,6.0,310.0
Amravati,2012,Amravati,127.0,30.0,460.0,321.0,290.0,5800000.0,500000.0,10.0,504.0
Amravati,2012,Bhatkuli,25.0,14.0,45.0,42.0,45.0,900000.0,200000.0,3.0,96.0
Amravati,2012,Daryapur,63.0,21.0,44.0,40.0,110.0,2200000.0,300000.0,3.0,99.0
Amravati,2012,Nandgaon Kh,35.0,25.0,335.0,330.0,285.0,5700000.0,800000.0,9.0,401.0
Amravati,2012,Chandur Railway,50.0,17.0,319.0,300.0,320.0,6400000.0,700000.0,8.0,457.0
Amravati,2012,Dhamangaon Re,38.0,3.0,12.0,10.0,200.0,4000000.0,300000.0,3.0,153.0
Amravati,2013,Dharani,100.0,98.0,868.0,860.0,250.0,5000000.0,700000.0,14.0,538.0
Amravati,2013,Chikhraldara,29.0,167.0,310.0,300.0,115.0,2300000.0,400000.0,2.0,67.0
Amravati,2013,Anjangaon Su,85.0,13.0,215.0,200.0,215.0,4300000.0,500000.0,2.0,430.0
Amravati,2013,Achalpur,89.0,60.0,505.0,500.0,180.0,3600000.0,800000.0,5.0,532.0
Amravati,2013,Chandurbazar,42.0,30.0,242.0,242.0,96.0,1920000.0,263000.0,5.0,214.0
Amravati,2013,Morshi,95.0,23.0,5800.0,5738.0,900.0,18000000.0,3500000.0,7.0,329.0
Amravati,2013,Warud,82.0,33.0,724.0,600.0,550.0,11000000.0,2000000.0,17.0,1016.0
Amravati,2013,Tivas,103.0,39.0,340.0,340.0,180.0,3600000.0,400000.0,6.0,310.0
Amravati,2013,Amravati,127.0,30.0,460.0,321.0,175.0,3500000.0,600000.0,10.0,504.0
Amravati,2013,Bhatkuli,25.0,14.0,45.0,42.0,35.0,700000.0,200000.0,3.0,96.0
Amravati,2013,Daryapur,63.0,21.0,44.0,40.0,70.0,1400000.0,300000.0,3.0,99.0
Amravati,2013,Nandgaon Kh,35.0,26.0,556.0,330.0,225.0,4500000.0,700000.0,9.0,401.0
Amravati,2013,Chandur Railway,50.0,17.0,319.0,300.0,161.0,4900000.0,1000000.0,8.0,457.0
Amravati,2013,Dhamangaon Re,38.0,3.0,12.0,10.0,245.0,3220000.0000000005,700000.0,4.0,203.0
Amravati,2014,Dharani,100.0,121.0,1309.0,1023.0,511.0,15330000.000000002,1408000.0,14.0,533.0
Amravati,2014,Chikhraldara,29.0,117.0,650.0,522.0,261.0,7830000.0,1214000.0,2.0,67.0
Amravati,2014,Anjangaon Su,85.0,10.0,211.0,190.0,95.0,2850000.0,285000.0,2.0,437.0
Amravati,2014,Achalpur,89.0,30.0,462.0,415.0,207.0,6210000.0,830000.0000000001,5.0,532.0
Amravati,2014,Chandurbazar,42.0,15.0,202.0,175.0,87.0,2610000.0,350000.0,5.0,214.0
Amravati,2014,Morshi,95.0,20.0,6061.0,5670.0,2835.0,85050000.0,3920000.0000000005,7.0,329.0
Amravati,2014,Warud,82.0,25.0,437.0,395.0,197.0,5910000.0,1592000.0,15.0,877.0
Amravati,2014,Tivas,103.0,19.0,220.0,132.0,66.0,1980000.0,198000.0,6.0,310.0
Amravati,2014,Amravati,127.0,30.0,460.0,322.0,161.0,4830000.0,483000.0,10.0,504.0
