Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Mining & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, and Hospitality",Railways,Transport (Other than Railways),Storage,Communication and Broadcast Services,Financial Services,"Real Estate, Other Dwellings, and Professional Services",Public Administration and Defence,Other Services,Services/ Tertiary Sector,GDVA,Taxes on products,"Less subsidies on
products",GDDP,Population ('000),Per capita District Domestic Product
2015,Washim,11990000000,3050000000,1000000000,270000000,16310000000,340000000,16650000000,13790000000,1310000000,3580000000,18680000000,19020000000,4830000000,320000000,2370000000,40000000,990000000,6680000000,11490000000,1780000000,3960000000,32460000000,67790000000,9850000000,1230000000,76410000000,1241,61559
2016,Washim,22530000000,3460000000,1020000000,410000000,27400000000,100000000,27510000000,14770000000,1350000000,3780000000,19900000000,20010000000,5440000000,360000000,2580000000,40000000,970000000,7060000000,12600000000,1910000000,4410000000,35370000000,82780000000,12000000000,1220000000,93560000000,1250,74854
2017,Washim,18770000000,3440000000,980000000,230000000,23420000000,940000000,24350000000,15700000000,1470000000,3790000000,20960000000,21900000000,5780000000,400000000,2750000000,40000000,900000000,7130000000,13050000000,2000000000,4690000000,36760000000,82080000000,12150000000,1080000000,93150000000,1258,74046
2018,Washim,25060000000,3030000000,990000000,180000000,29270000000,390000000,29660000000,16740000000,1600000000,3890000000,22230000000,22620000000,6320000000,400000000,3000000000,50000000,940000000,7540000000,14340000000,2090000000,5130000000,39820000000,91710000000,14080000000,1210000000,104580000000,1266,82612
2019,Washim,24240000000,3080000000,990000000,180000000,28490000000,750000000,29240000000,16300000000,1670000000,3890000000,21850000000,22610000000,6610000000,410000000,3170000000,50000000,1040000000,7730000000,15370000000,2440000000,5600000000,42430000000,93520000000,14230000000,1300000000,106450000000,1274,83565
2011,Yavatmal,27620000000,4070000000,7060000000,360000000,39120000000,11010000000,50130000000,27990000000,3050000000,9160000000,40200000000,51210000000,12010000000,680000000,4740000000,110000000,1810000000,13410000000,21710000000,4440000000,7580000000,66490000000,156820000000,22210000000,3580000000,175450000000,2786,62972
2012,Yavatmal,35850000000,4360000000,7100000000,330000000,47640000000,11140000000,58780000000,30270000000,3200000000,8820000000,42300000000,53440000000,13290000000,710000000,5220000000,110000000,1900000000,14490000000,23540000000,4530000000,8260000000,72030000000,173100000000,25340000000,4660000000,193780000000,2810,68961
2013,Yavatmal,24780000000,3600000000,6420000000,740000000,35540000000,11550000000,47090000000,33060000000,3040000000,9090000000,45190000000,56740000000,13000000000,720000000,5370000000,110000000,2120000000,16300000000,26040000000,4610000000,9010000000,77300000000,169580000000,24510000000,4270000000,189830000000,2834,66990
2014,Yavatmal,20180000000,3880000000,6570000000,370000000,31000000000,12410000000,43410000000,34810000000,3500000000,9820000000,48120000000,60530000000,13450000000,820000000,5940000000,120000000,2340000000,17600000000,29400000000,4730000000,10090000000,84500000000,176030000000,25420000000,4060000000,197380000000,2857,69083
2015,Yavatmal,31830000000,6060000000,6680000000,380000000,44950000000,12910000000,57860000000,38710000000,3670000000,10050000000,52430000000,65350000000,13560000000,880000000,6650000000,120000000,2790000000,18750000000,32250000000,4990000000,11100000000,91100000000,201390000000,29150000000,3630000000,226910000000,2880,78776
2016,Yavatmal,43340000000,5900000000,8590000000,280000000,58110000000,13500000000,71610000000,41110000000,3770000000,10530000000,55400000000,68900000000,15140000000,1000000000,7190000000,120000000,2690000000,19660000000,35060000000,5330000000,12270000000,98450000000,225460000000,32700000000,3320000000,254840000000,2902,87819
2017,Yavatmal,26260000000,6620000000,9170000000,570000000,42620000000,14900000000,57530000000,43930000000,4120000000,10600000000,58650000000,73550000000,16170000000,1130000000,7710000000,130000000,2510000000,19950000000,36520000000,5600000000,13120000000,102840000000,219020000000,32580000000,2890000000,248710000000,2922,85123
2018,Yavatmal,36620000000,4950000000,9710000000,470000000,51760000000,16050000000,67800000000,46280000000,4430000000,10750000000,61460000000,77510000000,17480000000,1110000000,8300000000,130000000,2600000000,20860000000,39650000000,5780000000,14180000000,110090000000,239350000000,36950000000,3170000000,273140000000,2942,92853
2019,Yavatmal,29350000000,5080000000,9290000000,500000000,44210000000,8410000000,52620000000,47910000000,4900000000,11440000000,64240000000,72650000000,19430000000,1220000000,9330000000,140000000,3070000000,22720000000,45180000000,7160000000,16460000000,124710000000,241580000000,36720000000,3350000000,274940000000,2961,92846
