Year,District,Taluka,Select Banks/ Bank Branches,Number
2013,Amravati,Bhatkuli,Classified Banks,5.0
2013,Amravati,Bhatkuli,Branch Offices,13.0
2013,Amravati,Daryapur,Classified Banks,4.0
2013,Amravati,Daryapur,Branch Offices,19.0
2013,Amravati,Nandgaon Kh,Classified Banks,7.0
2013,Amravati,Nandgaon Kh,Branch Offices,15.0
2013,Amravati,Chandur Railway,Classified Banks,6.0
2013,Amravati,Chandur Railway,Branch Offices,16.0
2013,Amravati,Dhamangaon Re,Classified Banks,6.0
2013,Amravati,Dhamangaon Re,Branch Offices,16.0
2014,Amravati,Dharani,Classified Banks,4.0
2014,Amravati,Dharani,Branch Offices,9.0
2014,Amravati,Chikhraldara,Classified Banks,5.0
2014,Amravati,Chikhraldara,Branch Offices,7.0
2014,Amravati,Anjangaon Su,Classified Banks,7.0
2014,Amravati,Anjangaon Su,Branch Offices,17.0
2014,Amravati,Achalpur,Classified Banks,13.0
2014,Amravati,Achalpur,Branch Offices,29.0
2014,Amravati,Chandurbazar,Classified Banks,8.0
2014,Amravati,Chandurbazar,Branch Offices,20.0
2014,Amravati,Morshi,Classified Banks,7.0
2014,Amravati,Morshi,Branch Offices,23.0
2014,Amravati,Warud,Classified Banks,12.0
2014,Amravati,Warud,Branch Offices,29.0
2014,Amravati,Tivas,Classified Banks,7.0
2014,Amravati,Tivas,Branch Offices,15.0
2014,Amravati,Amravati,Classified Banks,29.0
2014,Amravati,Amravati,Branch Offices,102.0
2014,Amravati,Bhatkuli,Classified Banks,5.0
2014,Amravati,Bhatkuli,Branch Offices,13.0
2014,Amravati,Daryapur,Classified Banks,5.0
2014,Amravati,Daryapur,Branch Offices,19.0
2014,Amravati,Nandgaon Kh,Classified Banks,7.0
2014,Amravati,Nandgaon Kh,Branch Offices,15.0
2014,Amravati,Chandur Railway,Classified Banks,5.0
2014,Amravati,Chandur Railway,Branch Offices,12.0
2014,Amravati,Dhamangaon Re,Classified Banks,6.0
2014,Amravati,Dhamangaon Re,Branch Offices,16.0
2015,Amravati,Dharani,Classified Banks,4.0
2015,Amravati,Dharani,Branch Offices,9.0
2015,Amravati,Chikhraldara,Classified Banks,5.0
2015,Amravati,Chikhraldara,Branch Offices,7.0
2015,Amravati,Anjangaon Su,Classified Banks,7.0
2015,Amravati,Anjangaon Su,Branch Offices,17.0
2015,Amravati,Achalpur,Classified Banks,14.0
2015,Amravati,Achalpur,Branch Offices,30.0
2015,Amravati,Chandurbazar,Classified Banks,8.0
2015,Amravati,Chandurbazar,Branch Offices,20.0
2015,Amravati,Morshi,Classified Banks,7.0
2015,Amravati,Morshi,Branch Offices,23.0
2015,Amravati,Warud,Classified Banks,12.0
2015,Amravati,Warud,Branch Offices,29.0
2015,Amravati,Tivas,Classified Banks,8.0
2015,Amravati,Tivas,Branch Offices,17.0
2015,Amravati,Amravati,Classified Banks,32.0
2015,Amravati,Amravati,Branch Offices,109.0
2015,Amravati,Bhatkuli,Classified Banks,5.0
2015,Amravati,Bhatkuli,Branch Offices,13.0
2015,Amravati,Daryapur,Classified Banks,5.0
2015,Amravati,Daryapur,Branch Offices,19.0
2015,Amravati,Nandgaon Kh,Classified Banks,7.0
2015,Amravati,Nandgaon Kh,Branch Offices,15.0
2015,Amravati,Chandur Railway,Classified Banks,5.0
2015,Amravati,Chandur Railway,Branch Offices,12.0
2015,Amravati,Dhamangaon Re,Classified Banks,7.0
