Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Mining & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, and Hospitality",Railways,Transport (Other than Railways),Storage,Communication and Broadcast Services,Financial Services,"Real Estate, Other Dwellings, and Professional Services",Public Administration and Defence,Other Services,Services/ Tertiary Sector,NDVA,Taxes on products,"Less subsidies on
products",NDDP,Population ('000),Per capita District Domestic Product
2018,Satara,35340000000,26360000000,7340000000,210000000,69240000000,300000000,69540000000,75520000000,5130000000,18160000000,98820000000,99120000000,28740000000,1670000000,13030000000,190000000,3040000000,37530000000,54080000000,7800000000,23290000000,169380000000,337740000000,60210000000,5160000000,392790000000,3180,123518
2019,Satara,38670000000,27660000000,7350000000,240000000,73910000000,350000000,74260000000,74330000000,5400000000,18360000000,98090000000,98440000000,30360000000,1730000000,13930000000,200000000,3420000000,38880000000,58590000000,9180000000,25710000000,182000000000,354350000000,62530000000,5710000000,411170000000,3200,128478
2011,Sindhudurg,17440000000,1300000000,9160000000,970000000,28870000000,3020000000,31900000000,10300000000,900000000,3830000000,15020000000,18050000000,4880000000,260000000,1780000000,40000000,640000000,5780000000,7030000000,1390000000,2910000000,24700000000,71620000000,11720000000,1890000000,81450000000,853,95436
2012,Sindhudurg,17770000000,1380000000,9390000000,1290000000,29830000000,2930000000,32760000000,11170000000,940000000,3690000000,15810000000,18740000000,5440000000,270000000,1980000000,40000000,680000000,6300000000,7650000000,1420000000,3230000000,27010000000,75570000000,12780000000,2350000000,86000000000,860,100020
2013,Sindhudurg,19050000000,1290000000,9610000000,1260000000,31210000000,1770000000,32970000000,12720000000,730000000,3810000000,17250000000,19020000000,5360000000,280000000,2040000000,40000000,690000000,7210000000,8520000000,1460000000,3590000000,29180000000,79410000000,13380000000,2330000000,90470000000,866,104447
2014,Sindhudurg,17130000000,950000000,10310000000,1000000000,29400000000,3640000000,33040000000,13120000000,950000000,4040000000,18110000000,21740000000,5390000000,300000000,2230000000,40000000,780000000,7610000000,9350000000,1470000000,3960000000,31130000000,82280000000,13760000000,2200000000,93840000000,872,107561
2015,Sindhudurg,16860000000,1020000000,10600000000,880000000,29360000000,4250000000,33610000000,14620000000,1000000000,4090000000,19720000000,23960000000,5330000000,320000000,2520000000,40000000,940000000,7990000000,10220000000,1550000000,4340000000,33260000000,86580000000,14470000000,1800000000,99250000000,879,112958
2016,Sindhudurg,17580000000,1290000000,14340000000,1020000000,34230000000,8620000000,42850000000,15200000000,1020000000,4100000000,20330000000,28940000000,5730000000,350000000,2630000000,40000000,830000000,8060000000,10730000000,1600000000,4620000000,34600000000,97770000000,15930000000,1620000000,112080000000,884,126751
2017,Sindhudurg,26540000000,1550000000,14230000000,1010000000,43330000000,9770000000,53100000000,16420000000,1070000000,4140000000,21620000000,31400000000,6100000000,400000000,2800000000,40000000,710000000,8240000000,11320000000,1740000000,4940000000,36290000000,111010000000,18450000000,1630000000,127820000000,889,143716
2018,Sindhudurg,17190000000,2220000000,16700000000,1030000000,37130000000,10470000000,47600000000,17450000000,1190000000,4200000000,22840000000,33310000000,6640000000,390000000,3010000000,40000000,700000000,8670000000,12500000000,1800000000,5380000000,39140000000,109580000000,18810000000,1610000000,126780000000,895,141732
2019,Sindhudurg,15750000000,2360000000,16870000000,1150000000,36130000000,7380000000,43520000000,18090000000,1310000000,4470000000,23870000000,31260000000,7390000000,420000000,3390000000,50000000,830000000,9460000000,14260000000,2230000000,6260000000,44290000000,111680000000,18980000000,1730000000,128930000000,900,143323
2011,Solapur,57700000000,23900000000,5540000000,130000000,87270000000,5460000000,92740000000,65620000000,5720000000,24380000000,95720000000,101180000000,31110000000,1630000000,11360000000,250000000,4090000000,36800000000,44770000000,8830000000,18530000000,157370000000,345820000000,56580000000,9120000000,393280000000,4343,90565
2012,Solapur,43210000000,24270000000,5560000000,170000000,73210000000,3810000000,77020000000,70440000000,5920000000,23290000000,99650000000,103450000000,34310000000,1690000000,12500000000,260000000,4280000000,39720000000,48220000000,8950000000,20340000000,170270000000,346940000000,59110000000,10870000000,395170000000,4385,90120
2013,Solapur,53090000000,19410000000,5540000000,70000000,78100000000,1350000000,79450000000,79110000000,4520000000,23660000000,107290000000,108650000000,33330000000,1710000000,12690000000,260000000,4290000000,44850000000,52960000000,9060000000,22330000000,181470000000,368220000000,62270000000,10840000000,419650000000,4427,94787
2014,Solapur,65870000000,29030000000,5650000000,160000000,100710000000,3410000000,104120000000,82640000000,5970000000,25480000000,114090000000,117500000000,33950000000,1900000000,14050000000,280000000,4890000000,47930000000,58920000000,9260000000,24980000000,196170000000,414380000000,70260000000,11230000000,473400000000,4469,105920
2015,Solapur,41710000000,43580000000,5700000000,190000000,91170000000,4420000000,95590000000,93080000000,6360000000,26050000000,125500000000,129920000000,33940000000,2020000000,16030000000,270000000,5980000000,50880000000,65060000000,9870000000,27630000000,211680000000,432760000000,73060000000,9090000000,496730000000,4511,110105
2016,Solapur,42150000000,37460000000,6510000000,170000000,86290000000,9400000000,95690000000,99450000000,6650000000,26850000000,132940000000,142350000000,37480000000,2270000000,17180000000,270000000,5450000000,52730000000,70210000000,10470000000,30220000000,226290000000,454930000000,76300000000,7760000000,523470000000,4551,115034
2017,Solapur,52410000000,42950000000,7000000000,140000000,102510000000,1060000000,103570000000,110440000000,7180000000,27830000000,145450000000,146520000000,41030000000,2680000000,18820000000,290000000,4780000000,55440000000,76150000000,11680000000,33230000000,244100000000,493130000000,84510000000,7490000000,570150000000,4588,124283
2018,Solapur,50520000000,37960000000,7710000000,100000000,96290000000,390000000,96670000000,116730000000,7940000000,28070000000,152730000000,153120000000,44420000000,2580000000,20140000000,300000000,4700000000,58010000000,83590000000,12050000000,36000000000,261790000000,511200000000,91150000000,7810000000,594540000000,4624,128567
2019,Solapur,56080000000,39460000000,7690000000,290000000,103520000000,7850000000,111370000000,111800000000,8110000000,27620000000,147530000000,155380000000,45670000000,2610000000,20950000000,300000000,5140000000,58470000000,88120000000,13810000000,38660000000,273740000000,532640000000,94770000000,8650000000,618750000000,4661,132750
2011,Thane,26810000000,5840000000,11310000000,4910000000,48860000000,24350000000,73220000000,344130000000,29990000000,127870000000,501990000000,526340000000,163180000000,8530000000,59570000000,1320000000,21440000000,192990000000,234780000000,46330000000,97190000000,825320000000,1400520000000,229150000000,36950000000,1592720000000,11156,142762
2012,Thane,27110000000,6140000000,11450000000,4770000000,49470000000,15320000000,64790000000,369670000000,31060000000,122210000000,522930000000,538250000000,180080000000,8870000000,65590000000,1350000000,22440000000,208430000000,253060000000,46990000000,106760000000,893580000000,1481290000000,252500000000,46460000000,1687340000000,11322,149030
2013,Thane,27400000000,5770000000,11560000000,5040000000,49770000000,2330000000,52100000000,414860000000,23710000000,124100000000,562670000000,565000000000,174770000000,8970000000,66520000000,1390000000,22480000000,235180000000,277730000000,47520000000,117090000000,951650000000,1566420000000,264960000000,46120000000,1785270000000,11489,155394
2014,Thane,26930000000,6760000000,12160000000,5080000000,50940000000,5440000000,56380000000,435410000000,31470000000,134230000000,601110000000,606550000000,178900000000,10040000000,74040000000,1450000000,25780000000,252520000000,310430000000,48790000000,131600000000,1033550000000,1691040000000,287170000000,45920000000,1932290000000,11656,165780
2015,Thane,25140000000,8710000000,12440000000,4040000000,50340000000,9780000000,60120000000,490700000000,33540000000,137320000000,661560000000,671340000000,178910000000,10670000000,84500000000,1450000000,31510000000,268190000000,342990000000,52000000000,145650000000,1115870000000,1837560000000,310560000000,38650000000,2109460000000,11824,178411
2016,Thane,25420000000,8370000000,16010000000,4420000000,54210000000,4310000000,58520000000,533640000000,35680000000,144060000000,713390000000,717700000000,201140000000,12210000000,92200000000,1440000000,29240000000,282940000000,376750000000,56210000000,162160000000,1214290000000,1986200000000,332980000000,33850000000,2285320000000,11985,190686
2017,Thane,21430000000,10010000000,15810000000,6640000000,53900000000,3680000000,57570000000,577950000000,37590000000,145640000000,761180000000,764860000000,214710000000,14040000000,98500000000,1530000000,25040000000,290120000000,398490000000,61130000000,173870000000,1277420000000,2096170000000,360040000000,31900000000,2424310000000,12141,199675
2018,Thane,23470000000,10670000000,18180000000,5720000000,58050000000,2500000000,60550000000,610110000000,41480000000,146720000000,798310000000,800810000000,232180000000,13490000000,105260000000,1560000000,24550000000,303200000000,436900000000,63000000000,188180000000,1368330000000,2227190000000,398010000000,34120000000,2591090000000,12299,210682
2019,Thane,23260000000,10950000000,18250000000,5560000000,58030000000,2950000000,60980000000,600470000000,43590000000,148320000000,792380000000,795320000000,245280000000,14000000000,112520000000,1630000000,27610000000,314070000000,473300000000,74180000000,207670000000,1470260000000,2323610000000,411360000000,37560000000,2697420000000,12456,216548
2011,Wardha,12930000000,2470000000,3720000000,240000000,19360000000,1100000000,20460000000,17470000000,1520000000,6490000000,25480000000,26580000000,8280000000,430000000,3020000000,70000000,1090000000,9800000000,11920000000,2350000000,4930000000,41890000000,87830000000,14370000000,2320000000,99880000000,1308,76350
2012,Wardha,14670000000,2630000000,3750000000,220000000,21270000000,670000000,21950000000,18760000000,1580000000,6200000000,26540000000,27220000000,9140000000,450000000,3330000000,70000000,1140000000,10580000000,12850000000,2390000000,5420000000,45360000000,93850000000,15970000000,2940000000,106880000000,1321,80908
2013,Wardha,11280000000,2520000000,4060000000,240000000,18100000000,310000000,18400000000,20970000000,1200000000,6270000000,28440000000,28740000000,8830000000,450000000,3360000000,70000000,1140000000,11890000000,14040000000,2400000000,5920000000,48090000000,94930000000,16050000000,2790000000,108190000000,1334,81115
2014,Wardha,11550000000,1910000000,4260000000,220000000,17940000000,380000000,18320000000,22030000000,1590000000,6790000000,30420000000,30800000000,9050000000,510000000,3750000000,70000000,1300000000,12780000000,15710000000,2470000000,6660000000,52300000000,101040000000,17140000000,2740000000,115430000000,1347,85724
2015,Wardha,15600000000,2650000000,4380000000,250000000,22880000000,470000000,23350000000,24870000000,1700000000,6960000000,33530000000,34000000000,9070000000,540000000,4280000000,70000000,1600000000,13590000000,17390000000,2640000000,7380000000,56560000000,113450000000,19140000000,2380000000,130200000000,1359,95792
2016,Wardha,21340000000,2210000000,5740000000,610000000,29900000000,1150000000,31050000000,26750000000,1790000000,7220000000,35760000000,36910000000,10080000000,610000000,4620000000,70000000,1470000000,14180000000,18880000000,2820000000,8130000000,60860000000,127670000000,21380000000,2170000000,146870000000,1371,107124
2017,Wardha,19410000000,2460000000,6040000000,220000000,28130000000,960000000,29090000000,29040000000,1890000000,7320000000,38250000000,39210000000,10790000000,710000000,4950000000,80000000,1260000000,14580000000,20020000000,3070000000,8740000000,64190000000,131530000000,22550000000,2000000000,152080000000,1382,110032
2018,Wardha,19610000000,2500000000,6870000000,200000000,29180000000,1560000000,30740000000,30490000000,2070000000,7330000000,39900000000,41460000000,11600000000,670000000,5260000000,80000000,1230000000,15150000000,21840000000,3150000000,9410000000,68390000000,139030000000,24790000000,2130000000,161700000000,1393,116054
2019,Wardha,20490000000,2600000000,6810000000,130000000,30030000000,2980000000,33010000000,29230000000,2120000000,7220000000,38570000000,41550000000,11940000000,680000000,5480000000,80000000,1340000000,15290000000,23040000000,3610000000,10110000000,71570000000,143150000000,25550000000,2330000000,166370000000,1404,118466
2011,Washim,18930000000,2280000000,1060000000,200000000,22460000000,160000000,22620000000,8560000000,750000000,3180000000,12490000000,12660000000,4060000000,210000000,1480000000,30000000,530000000,4800000000,5840000000,1150000000,2420000000,20540000000,55650000000,9110000000,1470000000,63290000000,1203,52616
2012,Washim,19620000000,2410000000,1040000000,210000000,23270000000,140000000,23410000000,9150000000,770000000,3020000000,12940000000,13080000000,4460000000,220000000,1620000000,30000000,560000000,5160000000,6260000000,1160000000,2640000000,22120000000,58470000000,9940000000,1830000000,66580000000,1213,54910
2013,Washim,22030000000,2940000000,1040000000,300000000,26300000000,320000000,26630000000,10120000000,580000000,3030000000,13720000000,14040000000,4260000000,220000000,1620000000,30000000,550000000,5730000000,6770000000,1160000000,2850000000,23200000000,63550000000,10740000000,1870000000,72430000000,1222,59258
2014,Washim,8760000000,1700000000,1010000000,300000000,11760000000,230000000,12000000000,10670000000,770000000,3290000000,14730000000,14960000000,4380000000,250000000,1810000000,40000000,630000000,6190000000,7610000000,1200000000,3220000000,25320000000,52050000000,8820000000,1410000000,59460000000,1232,48271
2015,Washim,11050000000,3010000000,990000000,240000000,15290000000,320000000,15610000000,12030000000,820000000,3370000000,16220000000,16540000000,4390000000,260000000,2070000000,40000000,770000000,6570000000,8410000000,1270000000,3570000000,27350000000,59170000000,9980000000,1240000000,67910000000,1241,54709
2016,Washim,21050000000,3410000000,1010000000,360000000,25830000000,100000000,25920000000,13110000000,880000000,3540000000,17520000000,17620000000,4940000000,300000000,2260000000,40000000,720000000,6950000000,9250000000,1380000000,3980000000,29820000000,73270000000,12250000000,1240000000,84270000000,1250,67417
2017,Washim,17420000000,3400000000,970000000,200000000,21980000000,910000000,22890000000,13940000000,910000000,3510000000,18360000000,19280000000,5180000000,340000000,2380000000,40000000,600000000,7000000000,9610000000,1470000000,4190000000,30820000000,72080000000,12350000000,1090000000,83330000000,1258,66243
2018,Washim,23090000000,2990000000,980000000,160000000,27230000000,380000000,27610000000,14890000000,1010000000,3580000000,19480000000,19870000000,5670000000,330000000,2570000000,40000000,600000000,7400000000,10660000000,1540000000,4590000000,33400000000,80490000000,14320000000,1230000000,93580000000,1266,73924
2019,Washim,22330000000,3040000000,980000000,160000000,26510000000,730000000,27240000000,14470000000,1050000000,3570000000,19090000000,19820000000,5910000000,340000000,2710000000,40000000,670000000,7570000000,11400000000,1790000000,5000000000,35430000000,81760000000,14470000000,1320000000,94910000000,1274,74507
2011,Yavatmal,26060000000,4010000000,6990000000,320000000,37380000000,9680000000,47060000000,23490000000,2050000000,8730000000,34270000000,43950000000,11140000000,580000000,4070000000,90000000,1460000000,13180000000,16030000000,3160000000,6630000000,56350000000,137680000000,22530000000,3630000000,156570000000,2786,56195
2012,Yavatmal,33660000000,4300000000,7040000000,290000000,45280000000,9850000000,55130000000,25220000000,2120000000,8340000000,35670000000,45520000000,12280000000,610000000,4470000000,90000000,1530000000,14220000000,17260000000,3210000000,7280000000,60960000000,151760000000,25790000000,4750000000,172810000000,2810,61496
2013,Yavatmal,23400000000,3550000000,6350000000,650000000,33950000000,9950000000,43900000000,28260000000,1620000000,8460000000,38340000000,48280000000,11910000000,610000000,4530000000,90000000,1530000000,16020000000,18920000000,3240000000,7980000000,64840000000,147070000000,24770000000,4310000000,167530000000,2834,59123
2014,Yavatmal,18760000000,3820000000,6510000000,330000000,29420000000,10670000000,40090000000,29850000000,2160000000,9200000000,41210000000,51880000000,12270000000,690000000,5080000000,100000000,1770000000,17310000000,21280000000,3350000000,9020000000,70860000000,152160000000,25630000000,4100000000,173700000000,2857,60793
2015,Yavatmal,29330000000,5980000000,6630000000,330000000,42270000000,12300000000,54570000000,33490000000,2290000000,9370000000,45160000000,57460000000,12210000000,730000000,5770000000,100000000,2150000000,18310000000,23410000000,3550000000,9940000000,76170000000,175890000000,29500000000,3670000000,201720000000,2880,70031
2016,Yavatmal,40510000000,5820000000,8510000000,240000000,55080000000,13050000000,68130000000,36130000000,2420000000,9750000000,48300000000,61340000000,13620000000,830000000,6240000000,100000000,1980000000,19160000000,25510000000,3810000000,10980000000,82210000000,198630000000,33190000000,3370000000,228450000000,2902,78723
2017,Yavatmal,24370000000,6530000000,9080000000,500000000,40490000000,14500000000,54990000000,38620000000,2510000000,9730000000,50860000000,65360000000,14350000000,940000000,6580000000,100000000,1670000000,19390000000,26630000000,4080000000,11620000000,85360000000,191210000000,32910000000,2920000000,221200000000,2922,75708
2018,Yavatmal,33730000000,4900000000,9620000000,420000000,48670000000,15610000000,64280000000,40690000000,2770000000,9790000000,53250000000,68860000000,15490000000,900000000,7020000000,100000000,1640000000,20220000000,29140000000,4200000000,12550000000,91260000000,208790000000,37360000000,3200000000,242940000000,2942,82587
2019,Yavatmal,27040000000,5020000000,9200000000,440000000,41690000000,8180000000,49870000000,42380000000,3080000000,10470000000,55920000000,64110000000,17310000000,990000000,7940000000,120000000,1950000000,22170000000,33400000000,5240000000,14660000000,103770000000,209570000000,37030000000,3380000000,243220000000,2961,82132
